W|laundry|gel cold wash non bio 35wl|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter mosel ayler riesling fass 1|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel ayler 1g 1er cru fass 21|de|r|??|mosel|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter unterstenberg grand cru|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter senior ayler village level no 6 trocken|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter schonfels kabinett grand cru no 111|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter neuenberg grand cru|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter kupp kabinett grand cru no 8|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter grand cru kupp spatlese no 7|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter barrel x riesling|??|w|riesling|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter ayler village level no 25 trocken|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter ayler spatlese no 77|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter kupp kabinett grand cru no 8|??|r|??|??|??|2022|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter ayler kupp riesling trocken 25|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter ayler 1g trocken|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter schonfels riesling kabinett fass 111|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter schonfels riesling fass 11 grosses gewachs|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter saarfeilser riesling fass 13 grosses gewachs|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling sekt|??|s|riesling|??|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lauer|peter riesling neuenberg fass 17|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling kern fass 9|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling feils fass 13 grosses gewachs|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling ayler senior fass 6|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp schonfels riesling kabinett fass 111|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling kabinett fass 8|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling kabinett fass 5 auction|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling kabinett fass 5|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling fass 18 grosses gewaches|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter schonfels riesling fass 11 grosses gewachs auction|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter schonfels riesling fass 11 grosses gewachs|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter saarfeilser riesling fass 13 grosses gewachs|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling neuenberg fass 17|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling kupp stirn fass 15|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling kupp kabinett no 8|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling kern fass 9|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling ayler kupp kabinett fass 5 auction|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling ayler fass 4|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter lambertskirch riesling kabinett|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling fass 18 grosses gewachs|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter schonfels riesling fass 11 grosses gewachs|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter saar riesling unterstenberg fass 12|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling ayler senior fass 6|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling kabinett fass 5 auction|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling kabinett fass 5|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling fass 18 grosses gewachs|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter feils riesling fass 13 grosses gewaches|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter schonfels riesling fass 11 grosses gewachs|??|w|riesling|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling ayler senior fass 6|??|w|riesling|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling fass 18 grosses gewachs|??|w|riesling|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter feils riesling fass 13 grosses gewaches|??|w|riesling|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling neuenberg fass 17|??|w|riesling|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling ayler kupp riesling stirn fass 15 feinherb|??|w|riesling|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling ayler kupp riesling stirn fass 15|??|w|riesling|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter feils riesling fass 13 grosses gewaches|??|w|riesling|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling kupp stirn fass 15|??|w|riesling|??|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling barrel x|??|w|riesling|??|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling ayler senior fass 6|??|w|riesling|??|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling fass 18 grosses gewachs|??|w|riesling|??|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter feils riesling fass 13 grosses gewaches|??|w|riesling|??|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter schonfels riesling fass 11 grosses gewachs|??|w|riesling|??|??|2015|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter saarfeilser riesling fass 13 grosses gewachs|??|w|riesling|??|??|2015|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter saar riesling unterstenberg fass 12|??|w|riesling|??|??|2015|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling neuenberg no 17|??|w|riesling|??|??|2015|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling ayler senior fass 6|??|w|riesling|??|??|2015|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter kupp riesling fass 18 grosses gewachs|??|w|riesling|??|??|2015|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter schonfels riesling fass 11 grosses gewachs|??|w|riesling|??|??|2014|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter riesling ayler senior fass 6|??|w|riesling|??|??|2014|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter saarfeilser riesling fass 13 grosses gewachs|??|w|riesling|??|??|2012|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter ayler kupp senior riesling fass 6|??|w|riesling|??|??|2008|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter saar riesling sekt brut reserve disg|??|s|riesling|??|??|1996|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|peter saar riesling sekt brut reserve disg|??|s|riesling|??|??|1993|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|peter saar riesling sekt brut disg|??|s|riesling|??|??|1992|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|peter riesling sekt brut reserve disg|??|s|riesling|??|??|1991|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|peter riesling sekt brut reserve disg|??|s|riesling|??|??|1990|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|peter riesling sekt brut reserve disg|??|s|riesling|??|??|1988|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|peter saar riesling sekt brut disg|??|s|riesling|??|??|1987|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|peter saar riesling sekt brut disg|??|s|riesling|??|??|1984|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|p riesling barrel x|??|w|riesling|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|p riesling ayler kupp spatlese fass 77|??|w|riesling|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|p riesling ayler kupp auslese gc fass 10 halfbottle|??|d|riesling|??|??|2023|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|lauer|neuenberg fass 17 riesling mosel|de|w|riesling|mosel|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|kupp fass 8 kabinett riesling mosel|de|w|riesling|mosel|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|kupp fass 8 kabinett riesling mosel|de|w|riesling|mosel|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|kupp 7 riesling spatlese|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|kern fass 9 riesling mosel|de|w|riesling|mosel|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|kern fass 9 riesling mosel|de|w|riesling|mosel|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|kern fass 9 riesling mosel|de|w|riesling|mosel|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|kern fass 9 riesling mosel|de|w|riesling|mosel|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|barrel x riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudunchusclan|maison sinnae esprit du rhone vacqueyras|fr|r|??|rhone|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudunchusclan|maison sinnae elements terra cotes du rhone nv|fr|r|??|rhone|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudun|levant cotes du rhone villages les beaux jours|fr|r|??|rhone|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudun|chateau de bod brotte chotes du rhone villages|fr|r|??|rhone|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudun|bib domaine remy estournel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudun|laudun|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudun|laudun|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=318
W|laudum|xxi plus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|xii plus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|rose bocopa caja 6 uds|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laudum|roble organico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|roble organic tinto alicante|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|roble monastrellsyrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laudum|roble monastrell syrah doc|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laudum|roble monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|roble monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=327
W|laudum|roble|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=330
W|laudum|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=330
W|laudum|petit verdot ecologico 1 botella|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|passas moscatel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|pasas de monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|old vine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|nature petit verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|nature monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|nature joven ecologico 1 botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|moscatel de alejandria de bodegas bocopa caja 6 uds|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|macabeo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|laudum xii plus red dry 145 075|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|gran reserva caja 6 botellas|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|laudum|gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|laudum|fondillon gran reserva|??|r|??|??|??|1994|13.5|gran reserva|medio|carnes vermelhas; massas; queijos|seco
W|laudum|fondillon de bodegas bocopa caja 6 uds|??|r|??|??|??|1988|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|fondillon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|dulcenegra monastrell de bodegas bocopa caja 6 uds|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=349
W|laudum|chardonnay organico|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudum|chardonnay organico|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudum|chardonnay organic wine|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudum|chardonnay ecologico|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudum|chardonnay barrica crianza|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudum|chardonnay barrica|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudum|chardonnay barrica|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=356
W|laudum|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudum|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=358
W|laudum|chardonay blanco 070|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|barrica especial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudum|alicante sweet red wine|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauduc|clairet|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudria|rouge domaine mondange|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudria|rouge domaine mondange|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=364
W|laudria|blanc domaine mondange|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudria|blanc domaine mondange|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|laudria|laudria|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudlina|soft selection 120x180cm valge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudlina|soft selection 120x180cm hall|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudile|olio extravergine di oliva di caffetteria stazione ceramica|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudes|toeteler bierbrand|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauders|tasting pack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauders|sherry edition scotland|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lauders|ruby cask|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauders|ruby cask|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=375
W|lauders|queen mary|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauders|queen mary|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=377
W|lauders|port edition scotland|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lauders|port edition ruby cask|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lauders|oloroso cask sherry edition|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lauders|oloroso cask|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lauders|oloroso cask|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce|=382
W|lauders|finest|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|lauders|aged 15 years scotland|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauders|25 years old|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauders|25 years|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauders|15 years|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauders|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauders|lauders|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauders|lauders|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=391
W|laudemio|tirrena bundle tuscan excellence|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|olio extravergine doliva frescobaldi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|olio extra vergine di oliva frescobaldi in gp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|olio extra vergine di oliva frescobaldi cl 50|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|olio extra vergine di oliva frescobaldi cl 50|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=396
W|laudemio|olio evo 100 ita 0 frescobaldi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|olio evo 100 ita 0 frescobaldi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=398
W|laudemio|frescobaldi olivenol extra vergine toskana 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|frescobaldi extra vergine olivovy olej|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|frescobaldi extra vergine olivovy olej|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=401
W|laudemio|frescobaldi olio extravergine di oliva astucciato|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|frescobaldi olio extravergine di oliva 0 astucciato|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|frescobaldi olio extravergine di oliva 0 astucciato|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|ekstra jomfru olivenolie kologisk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|appartenenza olio extra vergine di oliva frescobaldi cl50 con 4 piattini|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|appartenenza olio extra vergine di oliva frescobaldi cl50 con 4 piattini|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=407
W|laudemio|olio extra vergine di oliva frescobaldi cl50 con scatola|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|olio extra vergine di oliva frescobaldi cl50 con scatola|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|olio extra vergine di oliva frescobaldi cl50|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudemio|laudemio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laude|tuna siomai 190g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laude|tuna shanghai roll|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laude|tuna nuggets 190g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laude|tuna longaniza 190g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laude|tuna ham 190g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laude la|teuf cotes de gascogne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|laudato|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudari|chardonnay sicilia cristo di campobello weiwein aus sizilien chardonnay|it|w|chardonnay|sicilia|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudari|chardonnay doc sicilia cristo di campobello|it|w|chardonnay|sicilia|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudari|chardonnay doc sicilia|it|w|chardonnay|sicilia|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laudanum|lichti astroh|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudana|nizza docg riserva|??|r|??|??|??|2017|13.5|docg|medio|carnes vermelhas; massas; queijos|seco
W|laudacieux|divico sans sulfites ajoutes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudacieux|bordeaux|fr|r|??|bordeaux|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudacieux|domaine haut ventenac|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudacieux|domaine haut ventenac|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=428
W|laudacieux|laudacieux|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laudacieuse|laudacieuse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauchzwiebeln|im bund|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauca|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauca|pinot noir reserva|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lauca|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauca|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauca|chardonnay vinho fino branco seco|??|f|chardonnay|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lauca|chardonnay vinho fino branco seco|??|f|chardonnay|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce|=437
W|lauca|chardonnay reserva|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes; frutos do mar; aves|seco
W|lauca|carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laubuchon|laubuchon|??|r|??|??|??|1967|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laubret|laubret|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laubinaie|domaine des grandes vignes|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laubenheimer|syrah trocken|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laubenheimer|riesling qualitatswein trocken weingut haack burg layen|??|w|riesling|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laubenheimer|fruhburgunder trocken|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laube|a javernieres louis claude desvignes beaujolais aop 075ltr|fr|r|??|beaujolais|??|2023|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|laube|domaine courbis|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laubarit|bordeaux superieur|fr|r|??|bordeaux|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laubarit|bordeaux superieur|fr|r|??|bordeaux|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=449
S
