1. W|casio reloj|mtp1215a2adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|casio reloj|w2101avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=218
220. W|casio reloj|w2101bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|casio reloj|w2101bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=220
222. W|casio reloj|w2101cvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
223. W|casio reloj|w2101cvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=222
224. W|casio reloj w213|1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|casio reloj w213|1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=224
226. W|casio reloj|w2132avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|casio reloj|w2132avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=226
228. W|casio reloj|w215h1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|casio reloj|w215h1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=228
230. W|casio reloj|w215h7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|casio reloj|w215h7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
232. W|casio reloj|w215h8avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|casio reloj|w215h8avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=232
234. W|casio reloj|w216h1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|casio reloj|w216h1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=234
236. W|casio reloj|w216h1cvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|casio reloj|w216h1cvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=236
238. W|casio reloj|w216h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|casio reloj|w216h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=238
240. W|casio reloj|w216h2bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|casio reloj|w216h2bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=240
242. W|casio reloj|w217h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|casio reloj|w217h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=242
244. W|casio reloj|w217h3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|casio reloj|w217h3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=244
246. W|casio reloj|w217h5avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|casio reloj|w217h5avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=246
248. W|casio reloj|w217h9avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|casio reloj|w217h9avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=248
250. W|casio reloj|w218h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|casio reloj|w218h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=250
252. W|casio reloj|w218h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|casio reloj|w218h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=252
254. W|casio reloj|w218h4bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|casio reloj|w218h4bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=254
256. W|casio reloj|w218hc8avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|casio reloj|w218hc8avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=256
258. W|casio reloj|w218hm5bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|casio reloj|w218hm5bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=258
260. W|casio reloj|w218hm7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|casio reloj|w218hm7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=260
262. W|casio reloj w219h|1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|casio reloj w219h|1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=262
264. W|casio reloj w219h|2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|casio reloj w219h|2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=264
266. W|casio reloj w219h|8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|casio reloj w219h|8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=266
268. W|casio reloj|w219h8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
269. W|casio reloj|w219h8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=268
270. W|casio reloj|w219hc8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|casio reloj|w219hc8bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=270
272. W|casio reloj|w735h8a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|casio reloj|w735h8a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=272
274. W|casio reloj|w736h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
275. W|casio reloj|w736h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=274
276. W|casio reloj|w736h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|casio reloj|w736h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=276
278. W|casio reloj|w736h3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|casio reloj|w736h3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=278
280. W|casio reloj w737h|1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|casio reloj w737h|1a2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=280
282. W|casio reloj w737h|1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|casio reloj w737h|1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=282
284. W|casio reloj w737h|2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|casio reloj w737h|2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=284
286. W|casio reloj|w737hx5avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|casio reloj|w737hx5avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=286
288. W|casio reloj|w800h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|casio reloj|w800h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=288
290. W|casio reloj|w800hm2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|casio reloj|w800hm2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=290
292. W|casio reloj|w800hm7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|casio reloj|w800hm7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=292
294. W|casio reloj|w96h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|casio reloj|w96h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=294
296. W|casio reloj|w96h1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|casio reloj|w96h1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=296
298. W|casio reloj|w96h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|casio reloj|w96h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=298
300. W|casio reloj|ws1200h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|casio reloj|ws1200h1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=300
302. W|casio reloj|ws1300h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
303. W|casio reloj|ws1300h2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=302
304. W|casio reloj|ws1400h1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|casio reloj|ws1400h1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=304
306. W|casio reloj|ws1400h3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|casio reloj|ws1400h3avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=306
308. W|casio reloj|ws1700h5avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|casio reloj|ws1700h5avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=308
310. W|casio reloj|ws1700h8avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|casio reloj|ws1700h8avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=310
312. W|casio reloj|ws2000h4avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|casio reloj|ws2000h4avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=312
314. W|casio reloj|ws220c4bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|casio reloj|ws220c4bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=314
316. W|casio sx100 desktop|calculator|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|casio tk2028 money|detector|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|casio watch lq1421b|ref4395471ea|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|casio watch mtpe600b2b|ref320972|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|casio watch mtpvd03d7a|ref339561|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
321. W|casio watch mtsrs100d1a|ref399046|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|casio watch wo mrw200h1bvdf|ref9453211ea|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|casio wrist watch wo ae1000w1avdf|ref4433391ea|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|casio wrist watch wo f201wa1adf|ref4420661ea|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. W|casio wrist watch wo|reff200w1audf1ea|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|casio wrist watch wo w591vq|refxxxx1ea|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|casio wrist watch wo w800h1avdf|ref8763971ea|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|casir dos santos avatar|chardonnay 2021|??|w|chardonnay|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
329. W|casir dos santos estate|petit verdot 2019|??|r|petit verdot|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|casir dos santos estate torrontes|2021|ar|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|casir dos santos|gran corte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|casisano brunello di|montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|casisano brunello di|montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
335. W|casisano brunello di|montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
336. W|casisano brunello di|montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
337. W|casisano brunello di|montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
338. W|casisano brunello di|montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
339. W|casisano brunello di|montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
340. W|casisano brunello di|montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
341. W|casisano brunello di|montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
342. W|casisano brunello di|montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
343. W|casisano brunello di montalcino|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
344. W|casisano brunello di montalcino|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|casisano brunello di montalcino|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=344
346. W|casisano brunello di montalcino|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|casisano brunello di montalcino|2019 6 pack 2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
348. W|casisano brunello di montalcino|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
349. W|casisano brunello di montalcino|doc 2018|it|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
350. W|casisano brunello di montalcino|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
351. W|casisano brunello di montalcino|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=350
352. W|casisano brunello di montalcino|docg red wine|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
353. W|casisano brunello di montalcino|docg riserva colombaiolo 2015|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
354. W|casisano brunello magnum in houten|kist|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|casisano colombaio brunello montalcino|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
356. W|casisano colombaiolo brunello di montalcino|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|casisano colombaiolo brunello di montalcino|riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
358. W|casisano colombaiolo brunello|riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
359. W|casisano colombaiolo brunello|riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=358
360. W|casisano|rosso di montalcino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|casisano|rosso di montalcino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
362. W|casisano|rosso di montalcino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
363. W|casisano|rosso di montalcino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
364. W|casisano|rosso di montalcino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
365. W|casisano|rosso di montalcino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
366. W|casisano|rosso di montalcino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
367. W|casisano|rosso di montalcino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
368. W|casisano|rosso di montalcino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
369. W|casisano|rosso di montalcino 22|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|casisano|rosso di montalcino doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
371. W|casisano|rosso di montalcino doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=370
372. W|casisano|rosso di montalcino doc 2022|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
373. W|casisanocolombaio brunello di montalcino|2013|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|casisino brunello di montalcino|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|casita|armable|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|casita armable|casabella|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|casita armable country|cottage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|casita armable forest|hut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|casita been there done that 4pk|can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|casita been there done that|dipa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|casita de jengibre|bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|casita de trupan para|pintar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|casita|grand cottage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|casita miro bond|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|casita miro bond|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=384
386. W|casita miro kitchen|cmk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|casita miro madame|rouge original nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|casita miro|malbec 2021|??|r|malbec|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
389. W|casita miro|malbec 2021|??|r|malbec|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=388
390. W|casita miro miro|2020 bordeaux blend|fr|r|??|bordeaux|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|casita miro miro|2020 bordeaux blend|fr|r|??|bordeaux|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
392. W|casita miro|pinot gris 2025|??|w|pinot gris|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
393. W|casita miro|pinot gris 2025|??|w|pinot gris|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco|=392
394. W|casita miro|rose 2025|??|p|??|??|??|2025|12.5|??|leve|saladas, aves, queijos leves|seco
395. W|casita miro|rose 2025|??|p|??|??|??|2025|12.5|??|leve|saladas, aves, queijos leves|seco|=394
396. W|casita miro summer aphrosidiac|2019 waiheke island|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|casita miro summer aphrosidiac|2019 waiheke island|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=396
398. W|casita miro|syrah 2021 waiheke|??|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
399. W|casita miro|syrah 2021 waiheke|??|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=398
400. W|casita para gato|bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|casita para ninos patrulla canina paw patrol injusa trex agregar al carrito|agregar|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|casity heeled pumps|black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|cask|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|cask|23 2010|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|cask|23 2012|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|cask|23 2013|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|cask|23 2015|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
408. W|cask|23 2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
409. W|cask|23 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|cask|23 cabernet sauvignon 2013|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
411. W|cask|bar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
412. W|cask|barrel rack house red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
413. W|cask collection double|maturation|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|cask collection|no78|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|cask creatures|01 village witch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|cask crew orange roast|whisk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|cask crew|rye|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|cask crew toffee walnut|whsk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|cask crew walnut|toffee|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|cask crew walnut toffee|wsky|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|cask|islay|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|cask|islay|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=421
423. W|cask islay|07ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|cask islay ad|rattray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|cask islay ad rattray|46|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|cask islay single|malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|cask islay single|malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=426
428. W|cask islay single|malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=426
429. W|cask islay small batch|46|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|cask islay small batch dewar rattray|46 abv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|cask le sens benrinnes|13 years old hogshead 2011|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|cask le sens caol ila|31 years old hogshead 1990|??|r|??|??|??|1990|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|cask le sens mannochmore|11 year old 2012 for tony leung cask 612167|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|cask le sens smogen|12 year old 2013 for casky cask52|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|cask le sens undisclosed islay|15 years old hogshead 2009|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. S
437. W|cask orkney 15y single|malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|cask orkney|18|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|cask orkney|18 jahre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|cask orkney|18 years limited edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|cask speyside|10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|cask speyside|12 years sherry|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
443. W|cask speyside 12y sherry|finish|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
444. W|cask|strength|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|cask strength|2022 edition 549|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|cask strength|537|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|cask strength|58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|cask strength|58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=447
