W|michele|portoghese fettucine 500gr|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas|doce
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha, queijo|seco|=60
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=35
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=119
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=239
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2011|13.5|docg|medio|carne vermelha, queijo|seco|=144
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2010|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=119
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2022|14|??|encorpado|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|it|r|nebbiolo|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|it|r|nebbiolo|??|??|2020|14|??|encorpado|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2022|14|doc|encorpado|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2022|14|??|encorpado|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2021|14|??|encorpado|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|NV|14|doc|encorpado|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco|=49
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
X
X
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=60
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2015|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, queijo|seco|=46
X
X
X
X
X
X
X
W|michele|chiarlo barbaresco reyna|??|r|dolcetto|??|??|2022|13.5|do|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=244
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=79
W|damilano|barolo cerequio|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|damilano|barolo cerequio|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco|=327
W|damilano|barolo cerequio|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, queijo|seco|=331
W|damilano|barolo cerequio|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco|=334
W|damilano|barolo cerequio|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=327
W|damilano|barolo cerequio|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=338
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco|=334
W|damilano|barolo cerequio|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=336
W|damilano|barolo cerequio|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=328
W|damilano|barolo cerequio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=328
W|damilano|barolo cerequio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=328
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=60
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2009|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2005|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, queijo|seco|=35
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=60
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco|=298
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, queijo|seco|=35
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|damilano|barolo cerequio|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco|=327
W|damilano|barolo cerequio|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, queijo|seco|=331
W|damilano|barolo cerequio|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2004|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2004|13.5|docg|medio|carne vermelha, queijo|seco|=391
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|damilano|barolo cerequio|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=331
W|damilano|barolo cerequio|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=331
W|damilano|barolo cerequio|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=331
W|damilano|barolo cerequio|??|r|??|??|??|2007|13.5|docg|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|2007|13.5|docg|medio|carne vermelha, queijo|seco|=400
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=336
W|damilano|barolo cerequio|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=336
W|damilano|barolo cerequio|??|r|??|??|??|2010|13.5|docg|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|2010|13.5|docg|medio|carne vermelha, queijo|seco|=406
W|damilano|barolo cerequio|??|r|??|??|??|2001|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=71
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=71
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=35
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=35
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|damilano|barolo cerequio|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=331
W|damilano|barolo cerequio|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=331
W|damilano|barolo cerequio|??|r|??|??|??|2010|13.5|docg|medio|carne vermelha, queijo|seco|=406
W|damilano|barolo cerequio|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco|=327
W|damilano|barolo cerequio|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco|=327
W|damilano|barolo cerequio|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, queijo|seco|=331
W|damilano|barolo cerequio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=328
W|damilano|barolo cerequio|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha, queijo|seco|=327
W|damilano|barolo cerequio|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco|=334
W|damilano|barolo cerequio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=328
W|damilano|barolo cerequio|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=336
W|damilano|barolo cerequio|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=336
W|damilano|barolo cerequio|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=336
W|damilano|barolo cerequio|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=327
W|damilano|barolo cerequio|??|r|??|??|??|2015|13.5|docg|medio|carne vermelha, queijo|seco|=345
W|damilano|barolo cerequio|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=331
W|damilano|barolo cerequio|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=328
W|damilano|barolo cerequio|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=439
W|damilano|barolo cerequio|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=338
W|damilano|barolo cerequio|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=338
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=340
W|damilano|barolo cerequio|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco|=334
W|damilano|barolo cerequio|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=336
W|damilano|barolo cerequio|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=336
W|damilano|barolo cerequio|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco|=327
W|damilano|barolo cerequio|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco|=345
W|damilano|barolo cerequio|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco|=345
W|damilano|barolo cerequio|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, queijo|seco|=406
W|damilano|barolo cerequio|??|r|??|??|??|1995|13.5|??|medio|carne vermelha, queijo|seco
W|damilano|barolo cerequio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=328
W|damilano|barolo cerequio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=328
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=71
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=71
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=60
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=184
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|doc|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2010|13.5|docg|medio|carne vermelha, queijo|seco|=259
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2010|13.5|docg|medio|carne vermelha, queijo|seco|=259
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=119
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=119
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=244
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=244
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=239
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco|=244
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=101
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=184
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=184
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=101
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=101
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
X
X
