1. W|carmenere|reserva|??|r|carmenere|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
230. W|carmes|de rieussec sauternes|fr|d|??|??|??|2012|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=226
231. W|carmes|de rieussec sauternes|fr|d|??|??|??|2013|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
232. W|carmes|de rieussec sauternes|fr|d|??|??|??|2013|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=231
233. W|carmes|de rieussec sauternes 2013 half bottle|fr|d|??|??|??|2013|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
234. W|carmes|de rieussec sauternes|fr|d|??|??|??|2014|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
235. W|carmes|de rieussec sauternes|fr|d|??|??|??|2014|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=234
236. W|carmes|de rieussec sauternes|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
237. W|carmes|de rieussec sauternes|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=236
238. W|carmes|de rieussec sauternes|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=236
239. W|carmes|de rieussec sauternes|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=236
240. W|carmes|de rieussec sauternes|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=236
241. W|carmes|de rieussec sauternes|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=236
242. W|carmes|de rieussec sauternes|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=236
243. W|carmes|de rieussec sauternes|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=236
244. W|carmes|de rieussec sauternes|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=236
245. W|carmes|de rieussec sauternes|fr|d|??|??|??|2016|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
246. W|carmes|de rieussec sauternes|fr|d|??|??|??|2016|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=245
247. W|carmes|de rieussec sauternes|fr|d|??|??|??|2016|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=245
248. W|carmes|de rieussec sauternes|fr|d|??|??|??|2016|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=245
249. W|carmes|de rieussec sauternes|fr|d|??|??|??|2017|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
250. W|carmes|de rieussec sauternes|fr|d|??|??|??|2017|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=249
251. W|carmes|de rieussec sauternes|fr|d|??|??|??|2017|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=249
252. W|carmes|de rieussec sauternes|fr|d|??|??|??|2017|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=249
253. W|carmes|de rieussec sauternes|fr|d|??|??|??|2017|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=249
254. W|carmes|de rieussec sauternes|fr|d|??|??|??|2018|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
255. W|carmes|de rieussec sauternes|fr|d|??|??|??|2018|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=254
256. W|carmes|de rieussec sauternes|fr|d|??|??|??|2018|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=254
257. W|carmes|de rieussec sauternes|fr|d|??|??|??|2019|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
258. W|carmes|de rieussec sauternes|fr|d|??|??|??|2019|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=257
259. W|carmes|de rieussec sauternes|fr|d|??|??|??|2019|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=257
260. W|carmes|de rieussec sauternes 2019 37|fr|d|??|??|??|2019|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
261. W|carmes|de rieussec sauternes 2019 6 bottles|fr|d|??|??|??|2019|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
262. W|carmes|de rieussec sauternes|fr|d|??|??|??|2020|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
263. W|carmes|de rieussec sauternes 202019|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
264. W|carmes|de rieussec sauternes 202019|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=263
265. W|carmes|de rieussec sauternes|fr|d|??|??|??|2021|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
266. W|carmes|de rieussec sauternes|fr|d|??|??|??|2021|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=265
267. W|carmes|de rieussec sauternes|fr|d|??|??|??|2022|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
268. W|carmes|de rieussec sauternes|fr|d|??|??|??|2022|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=267
269. W|carmes|de rieussec sauternes|fr|d|??|??|??|2023|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
270. W|carmes|de rieussec sauternes|fr|d|??|??|??|2023|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=269
271. W|carmes|de rieussec sauternes|fr|d|??|??|??|2023|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=269
272. W|carmes|de rieussec sauternes 375mls|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
273. W|carmes|de rieussec sauternes ac domaines barons de rothschild lafite|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
274. W|carmes|de rieussec sauternes barsac 37|fr|d|??|??|??|2020|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
275. W|carmes|de rieussec sauternes halbe flasche|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
276. W|carmes|de rieussec sauternes half bottle|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
277. W|carmes|de rieussec sauterness|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
278. W|carmes|de rieussen sauternes|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
279. W|carmes|haut brion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|carmes|haut brion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=279
281. W|carmes|haut brion 2021 rouge cb6 pessac|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|carmeshautbrion|grand vin de graves pessacleognan|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|carmeshautbrion|grand vin de graves pessacleognan|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|carmeshautbrion|grand vin de graves pessacleognan|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|carmeshautbrion|grand vin de graves pessacleognan|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|carmex|baume hydratant pour les levres classic|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
287. W|carmex|tube 35oz blister|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|carmez|boiledsmoked boiereasca pork neck 300g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|carmez|liver pate 180g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|carmez|pork liver pate prague 180g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|carmez|rawsmoke saliami student 300g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. X
293. W|carmez|smoked pigs ears 300g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|carmez|turkey liver pate 180g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|carmi|carmi|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|carmi|salvatge doq|??|r|??|??|??|NV|13.5|doq|medio|carne vermelha, massas, queijos curados|seco
297. W|carmiano|500|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. X
299. X
300. X
301. W|carmignano|carmignano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|carmignano|carmignano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=301
303. W|carmignano|carmignano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=301
304. W|carmignano|carmignano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=301
305. W|carmignano|fattoria di bacchereto terre a mano|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|carmignano|villa di capezzana|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|carmignano|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
308. W|carmignano|docg 2014 terre a mano|??|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
309. W|carmignano|docg 2022 il sassolo|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
310. W|carmignano|docg il sasso piaggia ml 750 cod pia02|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
311. W|carmignano|docg riserva ml 5000 piaggia cod pia09|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
312. W|carmignano|docg riserva piaggia eleganza toscana in una bottiglia|it|r|??|toscana|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
313. W|carmignano|docg riserva piaggia ml 750 cod pia04|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
314. W|carmignano|docg riserva trefiano 2020 capezzana|??|w|??|??|??|2020|12.5|docg|medio|peixes, frutos do mar, saladas|seco
315. W|carmignano|docg riserva uva dei colombi piaggia|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
316. W|carmignano|docg villa di capezzana 2019 capezzana|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
317. W|carmignano|docg villa di capezzana 2020 capezzana wine outlet|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
318. W|carmignano|docg villa di capezzana 2020 capezzana wine outlet|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=317
319. W|carmignano|docg villa di capezzana 2020 capezzana wine outlet|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=317
320. W|carmignano|docg villa di capezzana 2020 capezzana wine outlet|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=317
321. W|carmignano|docg villa di capezzana 2020 capezzana wine outlet|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=317
322. W|carmignano|docg villa di capezzana 2021 capezzana|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
323. W|carmignano|docg villa di capezzana 2021 capezzana|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=322
324. W|carmignano|docg villa di capezzana 2021 capezzana|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=322
325. W|carmignano|docg villa di capezzana 2021 capezzana|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=322
326. W|carmignano|docg villa di capezzana 2021 capezzana|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=322
327. W|carmignano|fattoria di bacchereto terre a mano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|carmignano|il sasso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|carmignano|il sasso|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|carmignano|il sasso jeroboam cofanetto legno astucciato piaggia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|carmignano|il sasso magnum cofanetto legno astucciato piaggia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|carmignano|il sasso piaggia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|carmignano|il sasso piaggia|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|carmignano|magnum 1 2019 fattoria di bacchereto terre a mano|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|carmignano|rigoccioli 2020 tenuta ceri magnum|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
336. W|carmignano|riserva 2020 piaggia|??|r|??|??|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
337. W|carmignano|riserva 2021 piaggia|??|r|??|??|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
338. W|carmignano|riserva 2021 piaggia|??|r|??|??|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=337
339. W|carmignano|riserva docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
340. W|carmignano|riserva docg la farnete pierazzuoli|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
341. W|carmignano|riserva docg larrendevole 2020 tenuta ceri magnum|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
342. W|carmignano|riserva docg piaggia|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
343. W|carmignano|riserva docg piaggia 2019 super toscaner|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
344. W|carmignano|riserva elzana bio|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
345. W|carmignano|riserva elzana2021 docg rocca di castagnoli|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
346. W|carmignano|riserva grumarello|??|r|??|??|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
347. W|carmignano|riserva grumarello|??|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
348. W|carmignano|riserva montalbiolo bio|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
349. W|carmignano|riserva piaggia magnum cofanetto legno astucciato piaggia|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
350. W|carmignano|riserva piaggia piaggia|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
351. W|carmignano|santa cristina in pilli bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|carmignano|scaldagrilli|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|carmignano|scaldagrilli riserva|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
354. W|carmignano|tenuta ceri 2021 rigoccioli|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|carmignano|tenuta le farnete|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
356. W|carmignano|terre a mano|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|carmignano|terre a mano|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=356
358. W|carmignano|terre a mano|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|carmignano|terre a mano|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=358
360. W|carmignano|villa capezzana bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|carmignano|villa capezzana bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
362. W|carmilla|carmilla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|carmim|carmim|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|carmim|50 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|carmim|cinquentenario grande reserva 2x|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
366. W|carmim|monsaraz reserva alentejo doc|pt|r|??|alentejo|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
367. W|carmim|olaria suave branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
368. W|carmim|olaria suave tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|carmim|primitivo 3x tinto|??|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
370. W|carmim|primitivo tinto|??|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
371. W|carmim|reguengos tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|carmim|tarefa branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
373. X
374. W|carmim|tarefa tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|carmim|terras del rei tinto 2021case only|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|carmim|terras del rei tinto 2022case only|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|carmim|terras del rei vinho regional alentejano portugal|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|carmim|vinica velha 15 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|carmin|stephane gros|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|carmin|carmin|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|carmin|bom juiz doc reserva|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
382. X
383. W|carmin|de peumo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|carmin|de peumo|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|carmin|de peumo 2013 carmenere|??|r|carmenere|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
386. W|carmin|de peumo carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
387. W|carmin|de peumo carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=386
388. W|carmin|de peumo carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=386
389. W|carmin|de peumo carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=386
390. W|carmin|de peumo carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=386
391. W|carmin|de peumo carmenere|??|r|carmenere|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
392. W|carmin|de peumo carmenere|??|r|carmenere|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=391
393. W|carmin|de peumo carmenere|??|r|carmenere|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
394. W|carmin|de peumo carmenere|??|r|carmenere|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=393
395. W|carmin|de peumo carmenere 97 pts descorchados|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
396. W|carmin|de peumo carmenere 97 pts descorchados|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=395
397. W|carmin|de peumo carmerene red|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|carmin|de peuno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|carmin|des pierres|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|carmin|rouge sans sulfites domaine de la deviniere|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|carmin|sans sulfites ajoutes domaine de la deviniere|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|carmina|carmina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|carmina|carmina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=402
404. W|carmina|crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|carmina|luna red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|carmina|luna rot 135|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|carmina|luna white wine 12|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
408. W|carmina|marc du jura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
409. W|carmina|prosecco di conegliano doc extra dry loggia d colle|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
410. W|carmina|terrae primitivo|??|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
411. W|carmina|terrae primitivo|??|r|primitivo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
412. W|carmina|terrae primitivo puglia|it|r|primitivo|puglia|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
413. W|carmina|terrae primitivo puglia|it|r|primitivo|puglia|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
414. S
415. S
416. W|carmine|carmine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|carmine|bromeliad large|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|carmine|county premium saffron powder powdered sun dried natural saffron 8 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|carmine|de monicord|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|carmine|de monicord bordeaux superieur|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|carmine|granata gran reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
422. W|carmine|granata pinot negro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|carminio|rosso igt 20|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
424. W|carminio|rosso igt 22|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
425. W|carminium|carminium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|carminium|carminium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=425
427. W|carminium|inama|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
428. W|carminium|inama colli berici doc|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
429. W|carminium|carmenere 100 doc|??|r|carmenere|??|??|2018|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
430. W|carminium|carmenere 100 doc|??|r|carmenere|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
431. W|carminium|carmenere colli berici doc|??|r|carmenere|??|??|2018|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
432. W|carminium|doc|??|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
433. W|carmino|carmino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|carminoir|carminoir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|carminoir|carminoir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=434
436. W|carminoir|carminoir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=434
437. W|carminoir|carminoir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=434
438. W|carminoir|aoc valais 2024 cave petite vertu|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|carminoir|fut de chene 2023 domaine den bruaz|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|carminoir|vetroz 2023 cave du vieuxmoulin sa|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|carminucci|belato offida pecorino|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
442. W|carminucci|belato offida pecorino|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=441
443. W|carminucci|belato offida pecorino docg|??|w|??|??|??|2020|12.5|docg|medio|peixes, frutos do mar, saladas|seco
444. W|carminucci|casta marche passerina|it|w|passerina|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
445. W|carminucci|casta marche passerina|it|w|passerina|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
446. W|carminucci|falerio naumakos|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|carminucci|naumakos falerio|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|carminucci|naumakos rosso piceno doc superiore|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
449. W|carminucci|naumakos rosso piceno superiore|??|r|??|??|??|2021|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
450. W|carminucci|naumakos rosso piceno superiore|??|r|??|??|??|2022|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
451. W|carminucci|passerina casta marche|it|w|passerina|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
452. W|carminucci|pecorino belato offida|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
453. W|carminucci|rosso piceno superiore naumakos|??|r|??|??|??|2021|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
454. W|carminucci|rosso piceno superiore naumakos|??|r|??|??|??|2022|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
455. W|carminucci|viabore bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
456. W|carminucci|viabore bianco marche|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
457. W|carminucci|viabore rosso piceno|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
