1. W|carballal|rias baixas albarino sete cepas|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
247. W|carbonation|palo santo sparkling|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
248. W|carboncine|azienda agricola prosecco doc brut|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
249. W|carboncine|azienda agricola prosecco doc frizzante|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
250. W|carboncine|prosecco frizzante doc|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
251. W|carboncino|carboncino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|carboncino|carboncino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=251
253. W|carboncino|il drago e la fornace|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|carboncino|il drago e la fornace|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|carboncino|ashed tre latte robiola cow goat sheep|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|carbone|carbone|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|carbone|14|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|carbone|14|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=257
259. W|carbone|carbone|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|carbone|carbone|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=259
261. W|carbone|carbone|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=259
262. W|carbone|recit roero arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|carbonell|aceite 04|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|carbonell|moriles solera fina 1a anos 70|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|carbonell|pedro ximenez superior anos 80|??|r|??|??|??|NV|13.5|superior|medio|carne vermelha, massas, queijos curados|seco
266. W|carbonero|wood charcoal 5kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|carbonic|carbonic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
268. W|carbonic|carbonic|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
269. W|carbonic|carbonic|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|carbonic|cab franc|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|carbonic|coferment feints|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|carbonic|fermentated organic zinfandel|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
273. W|carbonic|grenache blanc orange wine|??|w|grenache|??|??|NV|12.5|??|encorpado|peixes, frutos do mar, saladas|seco
274. W|carbonic|grenache noir|??|r|grenache|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
275. W|carbonic|maceration castelao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
276. W|carbonic|merlot by miles garrett|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
277. W|carbonic|muller thurgau|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
278. W|carbonic|muskateller|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|carbonic|petnat 2020 petr korab|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|carbonic|pinot gris|??|w|pinot gris|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
281. W|carbonic|pinot noir|??|r|pinot noir|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|carbonic|sangiovese by esja|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
283. W|carbonic|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
284. W|carbonic|veltliner|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|carbonic|veltliner|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=284
286. W|carbonic|zinfandel by ita wines|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
287. W|carbonifere|carbonifere|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|carbonifere|carbonifere|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|carboniferous|carboniferous|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|carbonile|morellino di scansano docg|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
291. W|carboniq|carboniq|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|carbonique|carbonique|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|carboniste|carboniste|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|carboniste|carboniste|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=293
295. W|carboniste|albarino extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
296. W|carboniste|california brut|us|s|??|??|??|2020|12|??|leve|frutos do mar, aperitivos, sushi|brut
297. W|carboniste|california pet nat pinot grigio extra brut|us|s|pinot grigio|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
298. W|carboniste|california sparkling albarino extra brut|us|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
299. W|carboniste|california sparkling pinot noir rose extra brut|us|s|pinot noir|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
300. W|carboniste|carbonation nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|carboniste|corralitos extra brut|??|s|??|??|??|2019|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
302. W|carboniste|crab sparking orange extra brut california|us|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
303. W|carboniste|crab sparkling orange wine|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut
304. W|carboniste|extra brut albarino gomes vineyard|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
305. W|carboniste|gomes vineyard sparkling albarino extra brut|??|s|??|??|??|2021|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
306. W|carboniste|gomes vineyard sparkling albarino extra brut|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
307. W|carboniste|gomes vineyard sparkling albarino extra brut|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut nature|=306
308. W|carboniste|mackerel pinot grigio petnat|it|w|pinot grigio|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
309. W|carboniste|octopus sparkling albarino|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
310. W|carboniste|octopus sparkling albarino|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=309
311. W|carboniste|octopus sparkling albarino extra brut|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
312. W|carboniste|octopus sparkling albarino gomes vineyard ca usa|us|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
313. W|carboniste|pet nat mackerel|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut
314. W|carboniste|rouge brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
315. W|carboniste|rouge brute sparkling red brut|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut
316. W|carboniste|santa cruz mountains corralitos extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
317. W|carboniste|sea urchin sparkling rose|??|s|??|??|??|2022|12|??|leve|frutos do mar, aperitivos, sushi|brut
318. W|carboniste|sparkling albarino|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
319. W|carboniste|sparkling albarino|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=318
320. W|carboniste|sparkling albarino 2023 extra brut|??|s|??|??|??|2023|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
321. W|carboniste|v 19 brut rose|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
322. W|carbonium|small oval brush|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|carbonium|styling fine coarse teeth comb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|carbonless|2 ply 76 x 70mm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. W|carbonnade|flamande 380g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|carbonnay|carbonnay|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|carbonneau|la verriere|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|carbonneau|sequoia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|carbonneau|sequoia bordeaux|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|carbonnieux|carbonnieux|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|carbonnieux|carbonnieux|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|carbonnieux|graves blanc|??|w|??|??|??|2005|12.5|??|medio|peixes, frutos do mar, saladas|seco
333. W|carbonnieux|cb6 blanc|??|w|??|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
334. W|carbonnieux|cb6 blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
335. W|carbonnieux|cb6 blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
336. W|carbonnieux|rouge cb6 pessac|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
337. W|carbonnieux|blanc|??|w|??|??|??|2001|12.5|??|medio|peixes, frutos do mar, saladas|seco
338. W|carbonnieux|blanc|??|w|??|??|??|2006|12.5|??|medio|peixes, frutos do mar, saladas|seco
339. W|carbonnieux|blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
340. W|carbonnieux|blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
341. W|carbonnieux|blanc grand cru classe de graves pessacleognan|??|w|??|??|??|2021|12.5|grand cru classe|medio|peixes, frutos do mar, saladas|seco
342. W|carbonnieux|blanc grand cru classe de graves pessacleognan|??|w|??|??|??|2022|12.5|grand cru classe|medio|peixes, frutos do mar, saladas|seco
343. W|carbonnieux|blanc grand cru classe de graves pessacleognan|??|w|??|??|??|2023|12.5|grand cru classe|medio|peixes, frutos do mar, saladas|seco
344. X
345. X
346. X
347. W|carbonnieux|grand cru classe de graves pessacleognan|??|r|??|??|??|2020|13.5|grand cru classe|medio|carne vermelha, massas, queijos curados|seco
348. W|carbonnieux|grand cru classe de graves pessacleognan|??|r|??|??|??|2021|13.5|grand cru classe|medio|carne vermelha, massas, queijos curados|seco
349. W|carbonnieux|grand cru classe de graves pessacleognan|??|r|??|??|??|2021|13.5|grand cru classe|medio|carne vermelha, massas, queijos curados|seco|=348
350. W|carbonnieux|grand cru classe de graves pessacleognan|??|r|??|??|??|2022|13.5|grand cru classe|medio|carne vermelha, massas, queijos curados|seco
351. W|carbonnieux|grand cru classe de graves pessacleognan|??|r|??|??|??|2023|13.5|grand cru classe|medio|carne vermelha, massas, queijos curados|seco
352. W|carbonnieux|grand cru classe de graves pessacleognan magnum 1|??|r|??|??|??|2023|13.5|grand cru classe|medio|carne vermelha, massas, queijos curados|seco
353. W|carbonnieux|pessac leognan aop|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|carbonnieux|pessacleognan aop|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|carbonnieux|pessacleognan blanc 2006 1|??|w|??|??|??|2006|12.5|??|medio|peixes, frutos do mar, saladas|seco
356. W|carbonnieux|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|carbonnieux|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=356
358. W|carbonnieux|rouge|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|carbonnieux|rouge|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|carbonnieux|rouge damage label|??|r|??|??|??|1989|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|carbopol|35 mm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|carborosso|matita wines|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|carboy|brush|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|carboy|cap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|carboy|cleaner replacement pads|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|carboy|dryer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|carboy|dryer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=366
368. W|carboy|handle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|carboy|handle 65gallon maroon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|carboy|handle standard size orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|carboy|handle used|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|carboy|pet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|carbs|gel sabor maracuja dobro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|carbune|activ 120 cps|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. X
376. W|carbune|barbera dasti superiore docg franco roero|??|r|barbera|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
377. W|carbune|narghilea golden river 10 buccut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|carbune|narghilea golden river cocos nut 1kg cubes 26x26x27|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|carbune|pentru gratar 5kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|carbuni|din lemn pentru gratar 2kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|carbuni|pentru gratar 3kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|carca|cola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|carcadet|dammann nuit dete|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|carcadet|dammann samba|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|carcadet|passion framboise|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|carcadet|passion framboise freres damann vrac|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|carcadet|passionframboise|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|carcadet|provence n405 tin dammann freres|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|carcajrun|valsusa doc la chimera|us|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
390. W|carcanieux|cru bourgeouis medoc 125|fr|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
391. W|carcasa|cat active urban para samsung s5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|carcava|carcava|es|s|??|??|??|2019|12|ava|leve|frutos do mar, aperitivos, sushi|brut
393. W|carcavellos|paulo jorge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|carcavelos|carcavelos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|carcavelos|15 anos superior branco|??|w|??|??|??|NV|12.5|superior|medio|peixes, frutos do mar, saladas|seco
396. W|carcavelos|15y villa oeiras|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|carcavelos|carcavelos|??|r|??|??|??|1995|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|carcavelos|7 anos branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
399. W|carcavelos|7y villa oeiras|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|carcavelos|7yo estremadura villa oeris portugal half bottle|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|carcavelos|conde de oeiras|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|carcavelos|howards folly|??|r|??|??|??|1995|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|carcavelos|quinta barao no1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|carcavelos|quinta da bela vista|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|carcavelos|quinta do barao|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
406. W|carcavelos|villa oeiras 7 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|carcavelos|villa oeiras 7 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=406
408. W|carcavelos|villa oeiras 7 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
409. W|carcavelos|villa oeiras aged 7 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|carcavelos|villa oeiras branco|??|w|??|??|??|2004|12.5|??|medio|peixes, frutos do mar, saladas|seco
411. W|carcavelos|villa oeiras colheita|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
412. W|carcavelos|villa oeiras superior|??|r|??|??|??|NV|13.5|superior|medio|carne vermelha, massas, queijos curados|seco
413. W|carcavelos|villa oeiras superior|??|r|??|??|??|NV|13.5|superior|medio|carne vermelha, massas, queijos curados|seco|=412
414. W|carcavelos|villa oeiras superior|??|r|??|??|??|NV|13.5|superior|medio|carne vermelha, massas, queijos curados|seco|=412
415. W|carcavelos|villa oeiras superior 15 anos|??|r|??|??|??|NV|13.5|superior|medio|carne vermelha, massas, queijos curados|seco
416. S
417. W|carcel|de corpa crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|carcel|de corpa gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
419. W|carcel|seguido del poemario estrofas del eter|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
420. W|carceles|y exilios|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|carche|carche|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. X
423. W|carchelejo|cabecada de lombo 750 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|carchelejo|chicken breast sandwich|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|carchelejo|salchichon alcazar extra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|carchelejo|salchichon cular iberico extra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|carchelejo|salchichon gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
428. W|carchelejo|salsichao extra 500 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
429. W|carcheleto|vermut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|carchelo|carchelo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|carchelo|carchelo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=430
432. W|carchelo|180|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|carchelo|carchelo|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|carchelo|4 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|carchelo|altico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|carchelo|altico|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|carchelo|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
438. W|carchelo|blanco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
439. W|carchelo|c red blend jumilla|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|carchelo|c selecto crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|carchelo|canalizo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|carchelo|ciento80|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|carchelo|ciento80|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=442
444. W|carchelo|ciento80 cc bodegas carchelo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|carchelo|ciento80 vinedos de paraje|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|carchelo|ciento80 vinedos de paraje|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=445
447. W|carchelo|guarafia|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|carchelo|orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|carchelo|orange wine bodegas carchelo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
450. W|carchelo|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
451. W|carchelo|rose|??|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
452. W|carchelo|rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
453. W|carchelo|selecto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|carchelo|selecto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=453
455. W|carchelo|selecto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=453
456. W|carchelo|selecto|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|carchelo|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|carchelo|tinto jumilla dop|??|r|??|??|??|2023|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
459. W|carchelo|vinedos de pueblo monastrell|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|carchelo|vinedos del pueblo monastrell|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|carcia|igp calabria rosso di cantina merenda|it|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
462. W|carcicera|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
463. W|carciofi|alla brace 500 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|carciofi|alla brace enoteca maggiolini ml314|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|carciofi|alla brace in olio 150 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|carciofi|alla cafona|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|carciofi|alla cafona 29 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|carciofi|alla cafona 500 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|carciofi|alla cafona in olio 100 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|carciofi|alla giudia artichokes 2550g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|carciofi|alla romana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|carciofi|alle brace in olio di oliva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|carciofi|caponata di carciofi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|carciofi|con gambo alla romana in olio lata 3kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|carciofi|della nonna 280g grossmutter artisschocken|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. W|carciofi|della nonna interi grigliati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|carciofi|fritti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|carciofi|in olio 280 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|carciofi|nature in olio extravergine doliva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|carciofi|sottolio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|carciofi|trifolati in olio extravergine di oliva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|carciofine|carciofine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|carciofini|carciofini|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
