W|nossa calcario|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nieto senetiner|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner patrimonial semillon|semillon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner patrimonial malbec|doc|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner malbecpetit verdot|verdot|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner malbec|doc|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner malbec|doc|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=233
W|nieto senetiner malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=235
W|nieto senetiner fran chardonnay|2020|??|w|chardonnay|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nieto senetiner emilia malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner don nicanor malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner don nicanor lastortugas|bonarda 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner don nicanor chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nieto senetiner don nicanor chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=241
W|nieto senetiner don nicanor bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner don nicanor|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner don nicanor barrel select malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nieto senetiner chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nieto senetiner cadus|gran vin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner cabernet sauvignonsyrah|sauvignonsyrah|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner cabernet sauvignon syrah|syrah|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner bonarda|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner bonarda partida limitada|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner bonarda partida limitada|limitada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner|blend rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|nieto senetiner|blend collection tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner|blend collection malbeccabernet franc petit verdot|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner|blend collection malbec cabernet franc e petit verdot 2016|??|r|cabernet franc|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner|blend collection malbec cabernet franc e petit verdot|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner|blend collection cabernet sauvignoncabernet franc petit verdot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner|blend collection cabernet sauvignon cabernet franc e petit verdot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner|blend collection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto senetiner benjamin chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nieto senetiner believe in|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|nieto|blend malbec caberfranc petit verdot|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto benjamin|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|nieto benjamin malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nieto benjamin cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort|white 10 anos 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|niepoort|white 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|niepoort vv vinhas velhas|branco 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|niepoort vintage|2019 0|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort vinha|do carril tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort vertente|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort tawny 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort robustos|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort redoma|rose 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|niepoort|porto dry white 195|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|niepoort pinot noir|tinto 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort nat cool dourado|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|niepoort lbv|2016 0|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort lagar de baixo|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort ladredo|tinto 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort|dry white 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|niepoort|douro conversa tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort dialogo|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort dialogo|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=288
W|niepoort dialogo|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=288
W|niepoort|dao touriga nacional tinto 2019|pt|r|??|dao|??|2019|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort|dao rotulo tinto 2020|pt|r|??|dao|??|2020|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort conciso|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort conciso|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|niepoort colheita|1997 0|??|r|??|??|??|1997|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort charme|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort caracolete|branco 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|niepoort batuta|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort batuta|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort batuta|douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort bastardo|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort 30 anos 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort 20 anos 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niepoort 10 anos 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niel joubert sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|niel joubert pinotage|pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niel joubert pinotage|pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=306
W|niel joubert merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niel joubert chenin blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niel joubert chenin blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=309
W|niel joubert cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicoletta|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicoletta|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|nicolas potel chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nicolas catena zapata cabernet malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicolas catena zapata|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicolas catena zapata|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicolas catena zapata|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=317
W|nicolas catena zapata|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicolas catena zapata|2010 tinto|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicola catena zapata bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicola catena parcela bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicola catena parcela bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=322
W|nicola catena bonarda|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicola catena bonarda|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=324
W|nicola catena bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicola catena bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=326
W|nicola bonarda|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicasia vineyards red|blend cabernet franc 2023|??|r|cabernet franc|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicasia red|blend malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicasia red|blend malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=330
W|nicasia red|blend cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicasia red|blend cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=332
W|nicasia catena zapata malbec|argentina|ar|r|malbec|mendoza|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nicasia blanc de blancs viognier|viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nicasia blanc de blancs viognier|viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=335
W|nibbio della sala antinori|antinori|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niagara|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|niagara seco tonini|tonini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niagara seco cappelletti|cappelletti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|niagara halberth|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|niagara|niagara|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|neyen espiritu de apalta|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|neyen espiritu de apalta|apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nexus tierras guindas ribera del duero|do|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nexus one ribera del duero|do|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nexus kosher ribera del duero|do|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nexus crianza ribera del duero|do|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|new roads|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|new roads|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=349
W|new roads|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=349
W|new roads malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|new roads malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=352
W|new roads malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=352
W|new roads|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|new roads|blend tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|new roads|blend tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|new roads|roads|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nes passito naturele di pantelleria|pantelleria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nerostella primitivo salento|tinto|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|neromora aglianico|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nero di troia primitivo unio|unio|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nero di troia|troia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nero davola tola siciliane|siciliane|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|nero davola tola black|black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nero davola stemmari sicilia|doc 2020 tinto italia|it|r|??|sicilia|??|2020|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|nero davola nerello bacaro farnese terre siciliane|igt 2013 tinto italia|it|r|??|sicilia|??|2013|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|nero davola la promessa|doc 2020 tinto italia|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nero davola giorno nuovo sicilia|doc 2020 tinto italia|it|r|??|sicilia|??|2020|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|nero davola feudo arancio|doc sicilia 2020|it|r|??|sicilia|??|2020|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|nero davola due lune|lune|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nero davola|doc siciliane|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|nero davola bacaro farnese terre siciliane|igt 2013 tinto italia|it|r|??|sicilia|??|2013|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|nero d avola sicilia dama|dama|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|nero d avola dama sicilia|doc|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|neozelandesa brancott|letter series pinot noir|??|w|pinot noir|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|neozelandes|tinto pinot noir cloudy bay|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|neozelandes|neozelandes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|neo zelandes lawsons|dry hills gewurztraminer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|neleman|organico viura merseguera|??|w|viura|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|neleman nucli|organico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nektart nektart|2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|negroamaro salento|igp madreterra bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|negroamaro salento|igp madreterra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|negroamaro rosato|rosato|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|negroamaro puglia messapi|igp 2020 tinto italia|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|negroamaro puglia lucarelli|2018 tinto italia|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|negroamaro primitivo|primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|negroamaro|igt salento masseria santa maria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|negroamaro di puglia|igp dai terra rossa la grotta barricato 2021 tinto italia|it|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|negroamarmo li veli|veli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg winemasters|tinto shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg winemasters|tinto cabernet suavignon shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg winemasters|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|nederburg winemasters|cabernet sauvignon shiraz tinto|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|nederburg winemasters pinotage|pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg winemaster s|cabernet sauvignon shiraz|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|nederburg winemaster pinotage|2020 tinto africa do sul|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg winemast shiraz|tinto|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg winemast sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nederburg winemast pinotage|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg winemast cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg wine shiraz|tinto|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg wine sauvignon blanc|branco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nederburg wine pinotage|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg wine cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg|tinto foundation shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg the winemasters shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg the winemasters sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nederburg the winemasters|shiraz|??|r|shiraz|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|nederburg the winemasters|pinotage|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|nederburg the winemasters|pinotage|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=411
W|nederburg the winemasters|cabernet sauvignon syrah|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|nederburg the winemasters|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|nederburg the winemasters|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=414
W|nederburg the winemasters chenin blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg the winemasters cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg the manor house shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg the manor house cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg the manor house cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=419
W|nederburg shiraz|tinto|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg shiraz|2022|??|r|shiraz|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=423
W|nederburg shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=423
W|nederburg shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=423
W|nederburg shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=423
W|nederburg shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=423
W|nederburg sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nederburg sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=429
W|nederburg|rose africa do sul|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|nederburg|rose 2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|nederburg|rose 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|nederburg|rose 2018|??|p|??|??|??|2018|12.5|??|medio|saladas, sushi, petiscos|seco
W|nederburg|rose 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|nederburg|rose 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=435
W|nederburg|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|nederburg|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=437
W|nederburg|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=437
W|nederburg|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=437
W|nederburg private bin r163 cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg pinotage|2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nederburg pinotage|2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=442
W|nederburg pinotage|pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
