W|portugues 2 flores|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porto|quinta das tecedeiras lbv 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta das heredias white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta das heredias tawny reserva|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta das heredias tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta das heredias ruby reserva|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta das heredias lbv|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta das carvalhas vintage 2005|??|f|palomino|??|??|2005|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta das carvalhas 50 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta das carvalhas 20 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta das carvalhas 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta da gaivosa white 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta da gaivosa white 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta da gaivosa vintage 2016 075|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta da gaivosa vintage 2016 0375|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta da gaivosa vintage 2015 075|??|f|palomino|??|??|2015|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta da gaivosa tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta da gaivosa tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta da gaivosa lbv alves sousa|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta da gaivosa lbv|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtavesuvio vint2011 070|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtavesuvio vint2006 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtavallado tawny reserva 075|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtavallado tawny 40 anos 05|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtavallado tawny 30 anos 05|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtavallado tawny 20 anos 050|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtavallado tawny 10 anos 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtavallado branco 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtatecedeiras vin2003 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtaroriz vint2001 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtaportal vintage2005 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtagaivosa 10 anos white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtagaivosa 10 anos tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtados murcas 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtacrasto vint2009 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtacrasto vint2000 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtacrasto honore 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qtacrasto colheita 1997 075|??|f|palomino|??|??|1997|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
X|=80
W|porto|qta vallado tawny 50 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qta vallado adelaide vintage 2015 075|??|f|palomino|??|??|2015|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|qta vallado adelaide vintage 2014 075|??|f|palomino|??|??|2014|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues valdouro tawny|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues valdouro tawny|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=261
W|porto|portugues valdouro ruby|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues porto messias tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues porto messias ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues porto messias ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=265
W|porto|portugues pocas tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues pocas tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues pocas tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues pocas tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=269
W|porto|portugues pocas ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues pocas ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=271
W|porto|portugues grahams fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues ceremony tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues ceremony ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues ceremony lbv|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|portugues ceremony lbv|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=276
W|porto|portugal quinta tecedeiras tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|porto dows fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pocas tawny 10anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pocas tawny 10 anos kit com 6 x|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pocas tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pocas tawni|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pocas ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pocas colheita 1996|??|f|palomino|??|??|1996|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pacheca tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pacheca lagrima 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pacheca 40 anos 020|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pacheca 30 anos 020|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pacheca 20 anos 2x020|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pacheca 20 anos 020|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pacheca 20 anos 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|pacheca 10 anos 020|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|osborne vint1997 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|olaria suave branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|noval tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|noval fine branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|noval branco extra dry|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort vint2005 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort vint2005 0375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort vint2003 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort tawny senior|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort tawny 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort secvint2000 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort lbv|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort junior ruby 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort dry white white rabbit|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|niepoort 10 0375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|mouro tinto suave|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|mouro tinto seco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|mouro branco suave|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|mouro branco seco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|moscatel pacheca 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias white dry seco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias white dry branco seco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias white dry bco seco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias vintage 2007|??|f|palomino|??|??|2007|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias vintage 2007|??|f|palomino|??|??|2007|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=322
W|porto|messias vintage 1997|??|f|palomino|??|??|1997|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=326
W|porto|messias tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=326
W|porto|messias tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=326
W|porto|messias tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=326
W|porto|messias tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=326
W|porto|messias tawnny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=333
W|porto|messias ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=333
W|porto|messias lbv 2007|??|f|palomino|??|??|2007|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias lbv 2004|??|f|palomino|??|??|2004|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias branco dry|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 50 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 40 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 40 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=340
W|porto|messias 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=342
W|porto|messias 20 anos aromas complexos e equilibrio|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=345
W|porto|messias 10 anos white dry bco meio doce|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 10 anos white dry|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 10 anos com lata tto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 10 anos com lata|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 10 anos com fibralata|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 10 anos branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|messias 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=353
W|porto|menin tawny 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|menin 20 anos tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards white 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards tawny de|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards tawny colheita 1976|??|f|palomino|??|??|1976|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards tawny colheita 1963|??|f|palomino|??|??|1963|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards colheita tawny 1977|??|f|palomino|??|??|1977|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards colheita 2012|??|f|palomino|??|??|2012|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards colheita 2008|??|f|palomino|??|??|2008|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards colheita 2004|??|f|palomino|??|??|2004|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards colheita 1975|??|f|palomino|??|??|1975|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards 50 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards 40 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|maynards 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|marthas white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|marthas tawny 10 anos tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|marthas fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|marthas fine ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|martha s tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|malvasia white rcv|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|lbv krohn 2016|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|lagrima branco vista alegre|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|krohn vintage 2016 075|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|krohn retiro novo vintage 2011 075|??|f|palomino|??|??|2011|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|krohn 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke vintage 2003|??|f|palomino|??|??|2003|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke tawny 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke reserve tawny|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke reserve ruby|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke fine ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke colheita 1987 075|??|f|palomino|??|??|1987|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke 80 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke 20 years old tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|kopke 10 years old tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|invictus white 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|invictus tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|intermares tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|intermares tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|intermares ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|intermares ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|intermares ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=400
W|porto|intermares|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|gravuras do coa white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|gravuras do coa tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|grahams vintage 2017 075|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|grahams vintage 2017 0375|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|grahams vintage 2016 075|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|grahams vint2007 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|grahams the tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|grahams tawny 80 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|grahams tawny 50 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|grahams tawny 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|grahams mini pack lata lbv e tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|grahams 20 years old tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|graham s 20 anos tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca white 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca white 0375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca white 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca vintage 2017 1|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca vintage 2017 075|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca vintage 2017 0375|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca vintage 2016 075|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca vintage 09|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca vint2009 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca vint2007 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca vint2007 0375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca vint2003 0375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca vint1997 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca terra prima 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca tawny 375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca tawny 20 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca tawny 10 anos 75|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca tawny 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca tawny 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=434
W|porto|fonseca tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=436
W|porto|fonseca tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=436
W|porto|fonseca tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=436
