W|argento|seleccion malbec 2019|ar|r|malbec|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|argiano|rosso di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco|=241
W|argiano|rosso di montalcino 2022|it|r|??|tuscany|montalcino|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino 2022|it|r|??|tuscany|montalcino|2022|13.5|??|medio|carnes, massas, queijos|seco|=243
W|argiano|rosso di montalcino 2023|it|r|??|tuscany|montalcino|2023|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino 2023|it|r|??|tuscany|montalcino|2023|13.5|??|medio|carnes, massas, queijos|seco|=245
W|argiano|rosso di montalcino 2023|it|r|??|tuscany|montalcino|2023|13.5|??|medio|carnes, massas, queijos|seco|=245
W|argiano|rosso di montalcino 2023|it|r|??|tuscany|montalcino|2023|13.5|??|medio|carnes, massas, queijos|seco|=245
W|argiano|rosso di montalcino 2023|it|r|??|tuscany|montalcino|2023|13.5|??|medio|carnes, massas, queijos|seco|=245
W|argiano|rosso di montalcino 2023|it|r|??|tuscany|montalcino|2023|13.5|??|medio|carnes, massas, queijos|seco|=245
W|argiano|rosso di montalcino 2023|it|r|??|tuscany|montalcino|2023|13.5|??|medio|carnes, massas, queijos|seco|=245
W|argiano|rosso di montalcino 2024|it|r|??|tuscany|montalcino|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino 2024|it|r|??|tuscany|montalcino|2024|13.5|??|medio|carnes, massas, queijos|seco|=252
W|argiano|rosso di montalcino 2024|it|r|??|tuscany|montalcino|2024|13.5|??|medio|carnes, massas, queijos|seco|=252
W|argiano|rosso di montalcino 2024|it|r|??|tuscany|montalcino|2024|13.5|??|medio|carnes, massas, queijos|seco|=252
W|argiano|rosso di montalcino 2024 tuscany|it|r|??|tuscany|montalcino|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino doc|it|r|??|tuscany|montalcino|NV|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino doc|it|r|??|tuscany|montalcino|NV|13.5|doc|medio|carnes, massas, queijos|seco|=257
W|argiano|rosso di montalcino doc|it|r|??|tuscany|montalcino|NV|13.5|doc|medio|carnes, massas, queijos|seco|=257
W|argiano|rosso di montalcino doc 2019|it|r|??|tuscany|montalcino|2019|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino doc 2019 italy|it|r|??|tuscany|montalcino|2019|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino doc 2020|it|r|??|tuscany|montalcino|2020|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino doc 2020|it|r|??|tuscany|montalcino|2020|13.5|doc|medio|carnes, massas, queijos|seco|=262
W|argiano|rosso di montalcino doc 2020 italy|it|r|??|tuscany|montalcino|2020|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino doc 2022|it|r|??|tuscany|montalcino|2022|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino doc 2022|it|r|??|tuscany|montalcino|2022|13.5|doc|medio|carnes, massas, queijos|seco|=265
W|argiano|rosso di montalcino doc 2022 italy|it|r|??|tuscany|montalcino|2022|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino doc 2023|it|r|??|tuscany|montalcino|2023|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino doc 6 x|it|r|??|tuscany|montalcino|NV|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino italian red wine|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino italy|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino red wine italy 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino rosso di montalcino doc 2023 vino rosso|it|r|??|tuscany|montalcino|2023|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino rosso di montalcino doc 2024 vino rosso|it|r|??|tuscany|montalcino|2024|13.5|doc|medio|carnes, massas, queijos|seco
W|argiano|solengo|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|solengo|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=275
W|argiano|solengo|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=275
W|argiano|solengo|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=275
W|argiano|solengo 2000|it|r|??|??|??|2000|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|solengo 2014|it|r|??|??|??|2014|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|solengo 2015 magnum astucciato legno|it|r|??|??|??|2015|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|solengo 2017|it|r|??|??|??|2017|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|solengo 2021|it|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|solengo 2021|it|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco|=283
W|argiano|solengo 2021|it|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco|=283
W|argiano|solengo 2022|it|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|solengo 2022|it|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco|=286
W|argiano|solengo 2022|it|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco|=286
W|argiano|solengo 2022|it|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco|=286
W|argiano|solengo damaged label 1997|it|r|??|??|??|1997|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|solengo igt 2001|it|r|??|??|??|2001|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt 2019 tuscany italy 145|it|r|??|??|??|2019|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt 2020|it|r|??|??|??|2020|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt 2020|it|r|??|??|??|2020|13.5|igt|medio|carnes, massas, queijos|seco|=293
W|argiano|solengo igt 2020|it|r|??|??|??|2020|13.5|igt|medio|carnes, massas, queijos|seco|=293
W|argiano|solengo igt 2020|it|r|??|??|??|2020|13.5|igt|medio|carnes, massas, queijos|seco|=293
W|argiano|solengo igt 2020 italy|it|r|??|??|??|2020|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt 2021|it|r|??|??|??|2021|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt 2021 italy|it|r|??|??|??|2021|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt 2022|it|r|??|??|??|2022|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt 2022|it|r|??|??|??|2022|13.5|igt|medio|carnes, massas, queijos|seco|=300
W|argiano|solengo igt 2022 6 bottle case|it|r|??|??|??|2022|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt cab sauv merlot syrah 2021|it|r|merlot|??|??|2021|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt magnum 2021|it|r|??|??|??|2021|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt toscana|it|r|??|tuscany|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt toscana 2019|it|r|??|tuscany|??|2019|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt toscana rosso 2021 vino rosso|it|r|??|tuscany|??|2021|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt toscana rosso 2022 vino rosso|it|r|??|tuscany|??|2022|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt toscana rosso 2023 vino rosso|it|r|??|tuscany|??|2023|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt toscano 2018|it|r|??|??|??|2018|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo igt toscano 2021|it|r|??|??|??|2021|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo rosso toscana 2022|it|r|??|tuscany|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|solengo toscana 2021|it|r|??|tuscany|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|solengo toscana igt|it|r|??|tuscany|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo toscana igt|it|r|??|tuscany|??|NV|13.5|igt|medio|carnes, massas, queijos|seco|=314
W|argiano|solengo toscana igt|it|r|??|tuscany|??|NV|13.5|igt|medio|carnes, massas, queijos|seco|=314
W|argiano|solengo toscana igt|it|r|??|tuscany|??|NV|13.5|igt|medio|carnes, massas, queijos|seco|=314
W|argiano|solengo toscana igt 2001|it|r|??|tuscany|??|2001|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo toscana igt 2023|it|r|??|tuscany|??|2023|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo toscana igt tuscany italy 2001|it|r|??|tuscany|??|2001|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo toscana igt tuscany italy 2022|it|r|??|tuscany|??|2022|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|solengo toscana igt tuscany italy 2022|it|r|??|tuscany|??|2022|13.5|igt|medio|carnes, massas, queijos|seco|=321
W|argiano|solengo toscana igt tuscany italy 2022|it|r|??|tuscany|??|2022|13.5|igt|medio|carnes, massas, queijos|seco|=321
W|argiano|solengo v23 6pk 2023|it|r|??|??|??|2023|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|suolo brunello di montalcino 2016|it|r|??|tuscany|montalcino|2016|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|suolo igt sangiovese 2020|it|r|sangiovese|??|??|2020|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|toscana red nc|it|r|??|tuscany|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|toscana solengo|it|r|??|tuscany|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|toscana solengo 2020|it|r|??|tuscany|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|toscana solengo 2020|it|r|??|tuscany|??|2020|13.5|??|medio|carnes, massas, queijos|seco|=329
W|argiano|toscana solengo 2020|it|r|??|tuscany|??|2020|13.5|??|medio|carnes, massas, queijos|seco|=329
W|argiano|toscana solengo 2020|it|r|??|tuscany|??|2020|13.5|??|medio|carnes, massas, queijos|seco|=329
W|argiano|vigna del suolo 2019 brunello di montalcino|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|vigna del suolo brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|vigna del suolo brunello di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|vigna del suolo brunello di montalcino 2018 magnum de|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|vigna del suolo brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|vigna del suolo brunello di montalcino docg 2019 vino rosso|it|r|??|tuscany|montalcino|2019|13.5|docg|medio|carnes, massas, queijos|seco
W|argiata|haroula red noussa 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argical|pas dose vsq casa caterina 2010 125 vol|??|r|??|??|??|2010|13.5|??|medio|carnes, massas, queijos|seco
W|argila|argila|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argila|brut nature 2013|??|s|??|??|??|2013|12|??|leve|aperitivos, frutos do mar, queijos|brut nature
W|argila|expandida vitaplan media 12 kg|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argila|mmxv 2015|??|r|??|??|??|2015|13.5|??|medio|carnes, massas, queijos|seco
W|argile|argile|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argile|argile|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=345
W|argile|2020|??|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argile|2020 chateau lafitte|??|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argile|2020 chateau lafitte|??|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco|=348
W|argile|2021 chateau lafitte|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argile|2021 chateau lafitte|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco|=350
W|argile|2022 blanc chateau lafitte|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argile|2022 chateau lafitte|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argile|2024|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argile|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argile|blanc 2018|??|r|??|??|??|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argile|blanc 2019|??|r|??|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argile|blanc 2020|??|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argile|blanc 2024|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argile|blanc domaine des ardoisieres 2024 bio|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argile|blanc igp vin des allobroges domaine des ardoisieres 2024|??|r|??|??|??|2024|13.5|igp|medio|carnes, massas, queijos|seco
W|argile|collioure blanc la rectorie|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argile|dezaley grand cru|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argile|igp allobroges 22|??|r|??|??|??|NV|13.5|igp|medio|carnes, massas, queijos|seco
W|argile|ocre de bouche|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argile|rouge|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argile|rouge|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=366
W|argile|rouge 2020 domaine des ardoisieres|??|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argile|rouge 2020 domaine des ardoisieres bd vin nature|??|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argile|rouge 2024|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argile|rouge 2024 domaine de ardoisieres|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argile|rouge domaine des ardoisieres 2024 bio|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argile|rouge igp vin des allobroges domaine des ardoisieres 2023|??|r|??|??|??|2023|13.5|igp|medio|carnes, massas, queijos|seco
W|argile|sur schiste denis et didier berthollier|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argile|verte|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argile|verte corps cheveux naturel zero dechet|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiles|a silex pouilly fume 2023|??|r|??|??|??|2023|13.5|??|medio|carnes, massas, queijos|seco
W|argiles|blanches aop cotes du rhone cairanne blanc 2024|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argiles|blanches cairanne blanc|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiles|blanches cairanne blanc domaine boutinot|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilite|blanc de blancs|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, queijos|brut
W|argilite|brut nature 2015|??|s|??|??|??|2015|12|??|leve|aperitivos, frutos do mar, queijos|brut nature
W|argilla|argilla|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|2022 cape blend|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|ad argillam|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|alentejo branco 2015|??|r|??|??|??|2015|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|branco|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|branco 2024|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|branco igp|??|r|??|??|??|NV|13.5|igp|medio|carnes, massas, queijos|seco
W|argilla da cave|branco 2015|??|r|??|??|??|2015|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|ramato rose 2021|??|p|??|??|??|2021|12.5|??|leve|saladas, frutos do mar, aperitivos|seco
W|argilla|red 2018|??|r|??|??|??|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|red 2019|??|r|??|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|talha de branco alvarinho alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|verde essiccata al sole|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|verde ventilata|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|villonissa coteauxmarie copinet|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|white 2019|??|r|??|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argilla|white 2024|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argillae|2021 orvieto superiore|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argillae|grechetto umbria igt bianco 2020|??|r|??|??|??|2020|13.5|igt|medio|carnes, massas, queijos|seco
W|argillae|orvieto doc superiore 2020|??|r|??|??|??|2020|13.5|doc|medio|carnes, massas, queijos|seco
W|argillae|orvieto superiore 2021|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argillae|orvieto superiore doc|??|r|??|??|??|NV|13.5|doc|medio|carnes, massas, queijos|seco
W|argillae|panata orvieto doc classico superiore 2019|??|r|??|??|??|2019|13.5|doc|medio|carnes, massas, queijos|seco
W|argillae|primo danfora umbria igt bianco 2017|??|r|??|??|??|2017|13.5|igt|medio|carnes, massas, queijos|seco
W|argillae|primo danfora umbria igt bianco 2018|??|r|??|??|??|2018|13.5|igt|medio|carnes, massas, queijos|seco
W|argillae|sinuoso 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argillae|sinuoso umbria igt rosso 2019|??|r|??|??|??|2019|13.5|igt|medio|carnes, massas, queijos|seco
W|argillae|spumante brut metodo charmat blanc de blancs|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, queijos|brut
W|argillae|vascellarus umbria igt rosso 2016|??|r|??|??|??|2016|13.5|igt|medio|carnes, massas, queijos|seco
W|argillaia|lugana doc veneto 2024 fabiano|??|r|??|??|??|2024|13.5|doc|medio|carnes, massas, queijos|seco
W|argillaria|bianco igt toscana bio|it|r|??|tuscany|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argille|bianche recioto|??|d|??|??|??|NV|11|??|medio|sobremesas, queijos azuis|doce
W|argille di tagghia|via nero davola doc 2021 centopassi|??|r|nero d avola|??|??|2021|13.5|doc|medio|carnes, massas, queijos|seco
W|argilos|basavin rosu sec|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilos|rosu basavin|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilos|verde|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilos|verde alb sec|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argilos|verde basavin|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiltubo|maschera allargilla verde pronta alluso|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argine|ramato 2021 teren|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|arginine|akg 120db gymbeam|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arginine|power 800mg capsula ultimate nutrition|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|argiolas|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|2011 vermentino costamolino sardegna|??|w|vermentino|??|??|2011|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argiolas|2015 costamolino vermentino sardinia italy|??|w|vermentino|??|??|2015|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argiolas|2021 is solinas carignano del sulcis riserva|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|2021 senes|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|2022 cannonau costera|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|2024 is argiolas vermentino|??|w|vermentino|??|??|2024|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argiolas|2024 meri vermentino di sardegna|??|w|vermentino|??|??|2024|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argiolas|angialis 2018|??|r|??|??|??|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|angialis 75|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|angialis igt|??|r|??|??|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argiolas|angialis passito isola dei nuraghi igt cl 50 6 x|??|r|??|??|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argiolas|arjola 75|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|box bianco lt 10|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|box rosso lt 10|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cannonanu di sardegna riserva senes|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cannonau costera|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cannonau costera|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=444
W|argiolas|cannonau di sardegna costera|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cannonau di sardegna costera 2016|??|r|??|??|??|2016|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cannonau di sardegna costera 2018|??|r|??|??|??|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cannonau di sardegna costera 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cannonau di sardegna costera 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco|=449
W|argiolas|cannonau di sardegna costera 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco|=449
W|argiolas|cannonau di sardegna costera 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco|=449
W|argiolas|cannonau di sardegna costera 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco|=449
W|argiolas|cannonau di sardegna costera doc|??|r|??|??|??|NV|13.5|doc|medio|carnes, massas, queijos|seco
W|argiolas|cannonau di sardegna doc costera 2022|??|r|??|??|??|2022|13.5|doc|medio|carnes, massas, queijos|seco
W|argiolas|cannonau di sardegna doc costera 2022|??|r|??|??|??|2022|13.5|doc|medio|carnes, massas, queijos|seco|=455
W|argiolas|cannonau di sardegna riserva senes 2014|??|r|??|??|??|2014|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cannonau di sardegna riserva senes 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cannonau di sardegna riserva senes 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco|=458
W|argiolas|cannonau di sardegna riserva senes 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco|=458
W|argiolas|cannonau di sardegna rosato arjola 2022|??|p|??|??|??|2022|12.5|??|leve|saladas, frutos do mar, aperitivos|seco
W|argiolas|cannonau riserva senes 2019|??|r|??|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|carda nera carignano del sulcis|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|carda nera carignano del sulcis|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=463
W|argiolas|cardanera 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cardanera 75|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cardanera doc|??|r|??|??|??|NV|13.5|doc|medio|carnes, massas, queijos|seco
W|argiolas|cardanera doc 6 cs 2023|??|r|??|??|??|2023|13.5|doc|medio|carnes, massas, queijos|seco
W|argiolas|carignano del sulcis cardanera 2024|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|carignano del sulcis is solinas 2021|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|carignano del sulcis is solinas 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|carignano del sulcis is solinas riserva 2020|??|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|carignano del sulcis riserva is solinas 2019|??|r|??|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|carignano del sulcis riserva is solinas 2020|??|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|carignano isola dei nuraghi cardanera 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|castamolino|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|cerdena 2019 vermentino igt isola dei nuraghi|??|w|vermentino|??|??|2019|12.5|igt|leve|frutos do mar, saladas, queijos|seco
W|argiolas|costamolino|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|costamolino 375|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiolas|costamolino doc 2019|??|r|??|??|??|2019|13.5|doc|medio|carnes, massas, queijos|seco
W|argiolas|costamolino doc 2024|??|r|??|??|??|2024|13.5|doc|medio|carnes, massas, queijos|seco
W|argiolas|costamolino docg 1997|??|r|??|??|??|1997|13.5|docg|medio|carnes, massas, queijos|seco
W|argiolas|costamolino vermentino|??|w|vermentino|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argiolas|costamolino vermentino|??|w|vermentino|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco|=483
