W|rapariga da quinta colheita seleccionada|seleccionada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos frades grande|tinto 2016|??|r|??|??|??|2016|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castellares|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castellares pinot noir|rose|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta dos castellares codega|do larinho bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares vinhas a norte|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|quinta dos castelares vinhas a norte|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos castelares|tinto 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares superior|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares sublime|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares sublime|sublime|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares|tinto 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares|rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|quinta dos castelares|douro tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares|douro branco|pt|w|??|douro|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|quinta dos castelares|douro branco|pt|w|??|douro|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco|=238
W|quinta dos castelares|5lts|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares|2018|??|r|??|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares pinot noir|rose 0|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta dos castelares pinot noir|rose|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta dos castelares pinot noir|rose|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=243
W|quinta dos castelares pinot noir|0|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares moscatel galego|branco seco|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos castelares moscatel galego|branco|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos castelares manuel caldeira|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares manuel caldeira|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos castelares manoel caldeira|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos castelares grande|tinto 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares grande|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares grande|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=252
W|quinta dos castelares grande|douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares grande|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares grande|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=255
W|quinta dos castelares grande|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=255
W|quinta dos castelares|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=258
W|quinta dos castelares|douro rose|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|quinta dos castelares|douro colheita tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares|douro colheita tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=261
W|quinta dos castelares|douro codega do larinho br|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares colheita|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta dos castelares colheita|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=264
W|quinta dos castelares codega|do larinho branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos castelares chardonnay bco|bco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos castelares|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos castelares bastardo|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares anonymous|anonymous|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos castelares alvarinho|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos carvalhais unico|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos carvalhais touriga nacional|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos carvalhais touriga nacional|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos carvalhais|branco 2021|??|w|??|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta dos carvalhais melange a trois|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos carvalhais gouveio edicao especial|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos carvalhais encruzado|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos carvalhais encruzado|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=278
W|quinta dos carvalhais duque de viseu|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos carvalhais colheita|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos carvalhais colheita|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos carvalhais colheita|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos carvalhais colheita|colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos carvalhais|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos carvalhais alfrocheiro edicao especial|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos cardo|touriga nacacional|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos bons ventos verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos bons ventos|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos bons ventos fresh|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos bons ventos fresh|fresh|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos bons ventos|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos bons ventos|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=292
W|quinta dos avidagos|tinto 2021|??|r|??|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos avidagos|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos avidagos|branco 2023|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta dos avidagos|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos avidagos arinto|branco 2021|??|w|??|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta dos avidagos arinto|branco 2019|??|w|??|??|??|2019|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta dos avidagos acqua terroir|tinto 075|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos alvercoes|tinto 2021|??|r|??|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos alvercoes colheita selecionada|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos alvercoes colheita selecionada|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta dos aciprestes|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos aciprestes|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos aciprestes|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos aciprestes grande|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dom rodrigo|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vesuvio vintage 2022 0 caixa|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vesuvio vintage 2022 0|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vesuvio tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vesuvio tinto 2021 0|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vesuvio cellar release tinto 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado vinha da coroa douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado vinha da coroa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado touriga nacional tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado touriga nacional douro 2019|pt|r|??|douro|??|2019|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado touriga nacional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado tinta roriz douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado reserva field blend tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado reserva field blend douro 2019|pt|r|??|douro|??|2019|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado reserva field blend|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado quadrifolia douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado porto tawny 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do vallado porto tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do vallado porto tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=326
W|quinta|do vallado porto tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do vallado douro superior|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado douro sousao tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado douro rose|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|quinta|do vallado douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vallado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vale meao tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vale meao 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vale meao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vale da raposa touriga nacional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do vale da raposa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do valdoeiro tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do valdoeiro syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do valdoeiro reserva doc tto bairrada|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do valdoeiro reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do valdoeiro chardonnay bco bairrada|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do valdoeiro chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do sobreiro de cima tinto 2006|??|r|??|??|??|2006|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do sobreiro de cima grande escolha 2005 tinto|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do sobreiro de cima 2004 tinto 1|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do sobral tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do sibio arinto branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do seival tinto seco castas portuguesas 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do seival castas portuguesas tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do seival cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do sanguinhal reserva tinto 2017 135|??|r|??|??|??|2017|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do salvante dona alicinha grande reserva tinto 2020|??|r|??|??|??|2020|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do sagrado lbv porto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do rol pinot noir tinto 2019|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do rol pinot noir tinto 2018|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do rol moscatel galego branco 2019|??|w|moscatel|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do rio grande tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do ribeirinho pe franco tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do regueiro reserva branco 2023|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta|do regueiro jurassico iii branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do regueiro barricas branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do portal reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do portal muros de vinha rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta|do portal muros de vinha douro tinto 2022|pt|r|??|douro|??|2022|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do portal colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do popa vinhas velhas tinto 2008|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do popa tinta roriz tinto 2008|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do popa papo 2008 tinto|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do pinto viognier chardonnay branco 2024|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do pinto viognier chardonnay branco 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do pinto viognier chardonnay branco 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco|=372
W|quinta|do pinto tinta miuda tinto edicao limitada 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do pinto tinta miuda tinto 2004|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do pinto roussanne branco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do pinto reserva touriga nacional tinto 2019|??|r|??|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do pinto reserva touriga nacional tinto 2016|??|r|??|??|??|2016|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do pinto reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do pinto merlot syrah tinto 2021|??|r|merlot|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do pinto merlot syrah tinto 1|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do pinto estate|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do pinto colheita tardia branco late harvest|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do pinto cimento branco 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do pinto chenin blanc branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do piloto collection moscatel roxo 2017|??|w|moscatel|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do perdigao encruzado branco dao 2024|pt|w|??|dao|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|quinta|do perdigao alfrocheiro tinto dao 2018|pt|r|??|dao|??|2018|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do penedo encruzado doc branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do penedo colheita doc tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval vintage 2022 0|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval touriga nacional tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval touriga nacional tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval touriga nacional tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval tinto cao tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval reserva tinto 2021|??|r|??|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval reserva tinto 2018|??|r|??|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval petit verdot tinto 2021|??|r|petit verdot|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval petit verdot tinto|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do noval doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do mouro tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do mouro rotulo dourado tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado tinto suave pet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado tinto suave lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado tinto suave lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=405
W|quinta|do morgado tinto suave edicao especial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado tinto suave 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=409
W|quinta|do morgado tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=409
W|quinta|do morgado tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=409
W|quinta|do morgado tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=409
W|quinta|do morgado tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=409
W|quinta|do morgado tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=409
W|quinta|do morgado tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=409
W|quinta|do morgado tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=409
W|quinta|do morgado tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=418
W|quinta|do morgado tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=418
W|quinta|do morgado tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=418
W|quinta|do morgado tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=418
W|quinta|do morgado tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=418
W|quinta|do morgado tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=418
W|quinta|do morgado tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=418
W|quinta|do morgado tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=418
W|quinta|do morgado tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=418
W|quinta|do morgado tinto bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado tannat suave|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado tannat suave|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=429
W|quinta|do morgado sv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado suave tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado suave tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=432
W|quinta|do morgado suave branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|quinta|do morgado suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=435
W|quinta|do morgado seco tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado seco branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do morgado seco branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=438
