W|tenuta moraria|maremma toscana doc 2021|it|r|??|toscana|??|2021|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta maccan|pinot grigio delle venezie 2024|it|w|pinot grigio|delle venezie|delle venezie|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
=248
W|tenuta maccan|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta maccan|pinot bianco doc|??|w|??|??|??|NV|12.5|doc|medio|peixes; frutos do mar; saladas|seco
W|tenuta maccan|delle venezie pinot grigio 2024|it|w|pinot grigio|delle venezie|delle venezie|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta maccan|chardonnay doc friuli 2022 3 x|it|w|chardonnay|friuli|??|2022|12.5|doc|medio|peixes; frutos do mar; saladas|seco
W|tenuta maccan|cabernet sauvignon doc friuli 2021 3 x|it|r|cabernet sauvignon|friuli|??|2021|14|doc|encorpado|carne vermelha; massas; queijo|seco
W|tenuta maccan|cabernet franc friuli|it|r|cabernet franc|friuli|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta maccan|cabernet franc|??|r|cabernet franc|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lunelli|solenida 2016 di podernovo biologico|??|r|??|??|??|2016|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luisa|traminer aromatico 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luisa|ribolla gialla igt venezia|??|r|??|??|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luisa|refosco dal pr doc friuli|it|r|??|friuli|??|NV|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta luisa|refosco 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luisa|pinot grigio doc friuli|it|w|pinot grigio|friuli|??|NV|12.5|doc|medio|peixes; frutos do mar; saladas|seco
W|tenuta luisa|merlot doc friuli|it|r|merlot|friuli|??|NV|13.5|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta luisa|boraszat|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luisa|tenuta luisa|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lucente|2023|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|wine dinner|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|toscana igt|it|r|??|toscana|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|toscana 2023|it|r|??|toscana|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
=269
W|tenuta luce|toscana 2021|it|r|??|toscana|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
=271
W|tenuta luce|toscana 2019|it|r|??|toscana|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|toscana 2018|it|r|??|toscana|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|toscana|it|r|??|toscana|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|the vision of two winemaking legends|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|tenuta luce lucente toscana igt rosso 2020|it|r|??|toscana|??|2020|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|tenuta luce brunello di montalcino docg 2018|??|r|??|??|??|2018|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|tenuta luce brunello di montalcino docg 2017|??|r|??|??|??|2017|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lux vitis toscana rosso igt 2018 frescobaldi|it|r|??|toscana|??|2018|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lux vitis 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
=281
W|tenuta luce|lux vitis 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
=283
W|tenuta luce|lux vitis|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=285
W|tenuta luce|lucente vin rosu 14|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lucente toscane|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lucente toscana igt 2022|it|r|??|toscana|??|2022|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lucente toscana igt 2020|it|r|??|toscana|??|2020|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lucente toscana igt 2018|it|r|??|toscana|??|2018|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lucente toscana igt|it|r|??|toscana|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
=292
W|tenuta luce|lucente toscana 6 x|it|r|??|toscana|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lucente toscana 2023|it|r|??|toscana|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
=295
W|tenuta luce|lucente toscana|it|r|??|toscana|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=297
=297
W|tenuta luce|lucente della vite|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lucente 2023|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
=301
=301
W|tenuta luce|lucente 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
=304
=304
W|tenuta luce|lucente 2021 toscana igt italy|it|r|??|toscana|??|2021|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lucente 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
=308
W|tenuta luce|lucente 2020 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lucente 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|lucente 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
=312
W|tenuta luce|lucente|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=314
=314
=314
W|tenuta luce|luce toscana igt rosso 2019|it|r|??|toscana|??|2019|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce toscana igt 2019|it|r|??|toscana|??|2019|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce toscana igt 2017|it|r|??|toscana|??|2017|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce toscana igt|it|r|??|toscana|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce toscana 2022|it|r|??|toscana|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
=322
W|tenuta luce|luce toscana 2019|it|r|??|toscana|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce della vite toscana rosso igt 6 x|it|r|??|toscana|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce della vite luce|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce della vite 2022 frescobaldi astucciato|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce della vite 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
=328
W|tenuta luce|luce della vite 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce della vite 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce della vite 2015|??|r|??|??|??|2015|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce della vite|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce brunello di montalcino docg 2017 giftbox|??|r|??|??|??|2017|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce brunello 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce brunello|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce 2018 toscana igt italy|it|r|??|toscana|??|2018|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce 2017|??|r|??|??|??|2017|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|luce|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=341
W|tenuta luce|la vite lucente 75|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|la vite lucente 2022 frescobaldi astucciato|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|la vite lucente 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|la vite lucente|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|delle vite 2016|??|r|??|??|??|2016|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|delle vite 2011|??|r|??|??|??|2011|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite toscana rosso 2018|it|r|??|toscana|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite toscana rosso 2017|it|r|??|toscana|??|2017|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite toscana igt 2020|it|r|??|toscana|??|2020|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite lux vitis 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite lucente tinto 2023|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite lucente 2023|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite lucente 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite luce tinto 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite 15 liter|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|della vite|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|brunello di montalcino docg sangiovese|??|r|sangiovese|??|??|NV|13.5|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|brunello di montalcino docg 2018|??|r|??|??|??|2018|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|brunello di montalcino docg|??|r|??|??|??|NV|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|brunello di montalcino 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
=363
W|tenuta luce|brunello di montalcino 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
=365
=365
=365
=365
W|tenuta luce|brunello di montalcino 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
=370
W|tenuta luce|brunello di montalcino 2018 wotm|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|brunello di montalcino 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|brunello di montalcino 2016|??|r|??|??|??|2016|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|brunello 2017|??|r|??|??|??|2017|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|2022 owc|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|2021 toscana igt italy|it|r|??|toscana|??|2021|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|2020 tuscany|it|r|??|tuscany|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
=379
W|tenuta luce|2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
=381
W|tenuta luce|2017|??|r|??|??|??|2017|13|??|medio|carne vermelha; massas; queijo|seco
=383
W|tenuta luce|2016 toscana igt italy|it|r|??|toscana|??|2016|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta luce|tenuta luce|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lodola|nuova|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta limpostino|viandante montecucco sangiovese riserva docg|??|r|sangiovese|??|??|NV|13.5|docg|encorpado|carne vermelha; massas; queijo|seco
W|tenuta limpostino|ottava rima maremma rosso|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta limpostino|montecucco rosso riserva 2015|??|r|??|??|??|2015|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta limpostino|montecucco rosso|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta limpostino|montecucco riserva|??|r|??|??|??|NV|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta limpostino|montecucco impostino riserva 2015|??|r|??|??|??|2015|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta limpostino|lupo bianco maremma toscana igt|it|w|??|toscana|??|NV|12.5|igt|medio|peixes; frutos do mar; saladas|seco
W|tenuta limpostino|impostino montecucco riserva doc|??|r|??|??|??|NV|13|doc|encorpado|carne vermelha; massas; queijo|seco
W|tenuta limpostino|ciarlone montecucco|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=396
W|tenuta lilluminata|tebavio barolo 2008|??|r|??|??|barolo|2008|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta lilluminata|tebavio barolo 2004|??|r|??|??|barolo|2004|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta lilluminata|nebbiolo langhe dancestro 2021|??|r|nebbiolo|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lilluminata|la morra santanna barolo docg 2017|??|r|??|??|barolo|2017|14|docg|encorpado|carne vermelha; massas; queijo|seco
W|tenuta lilluminata|la morra dolcetto dalba savincato 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lilluminata|dolcetto dalba savincato 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lilluminata|barolo santanna 2016|??|r|??|??|barolo|2016|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta lilluminata|barbera dalba colbertina 2021|??|r|barbera|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta liliana|cabernet sauvignon salento igp 2022|??|r|cabernet sauvignon|??|??|2022|14|igp|encorpado|carne vermelha; massas; queijo|seco
=406
W|tenuta liliana|cabernet sauvignon salento igp 2021|??|r|cabernet sauvignon|??|??|2021|14|igp|encorpado|carne vermelha; massas; queijo|seco
=408
W|tenuta licinia|tre cavali 750|es|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta licinia|tre cavali|es|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta licinia|rosso|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=412
W|tenuta licinia|onda igt toscana rosso 2023 vino rosso|it|r|??|toscana|??|2023|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta licinia|montepolli mgm owc igt toscana rosso 2023 vino rosso|it|r|??|toscana|??|2023|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta licinia|montepolli mgm igt toscana rosso 2023 vino rosso|it|r|??|toscana|??|2023|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta licinia|montepolli igt toscana rosso 2023 vino rosso|it|r|??|toscana|??|2023|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta licinia|montepolli dmg owc igt toscana rosso 2023 vino rosso|it|r|??|toscana|??|2023|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta licinia|isolato igt toscana rosso 2023 vino rosso|it|r|??|toscana|??|2023|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta lenzini|syrah|??|r|syrah|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta lenzini|poggio de paoli|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=421
=421
W|tenuta lenzini|merlot casa e chiesa|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lenzini|colline lucchesi il salvataggio 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lenzini|casa e chiesa merlot 2022|??|r|merlot|??|??|2022|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lenzini|casa e chiesa|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=427
=427
W|tenuta lenzini|busce 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lenzini|bside|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=431
W|tenuta lelli|vermentino|??|w|vermentino|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta lelli|chianti rufina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|potazzine rosso di montalcino 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|potazzine brunello di montalcino 1997|??|r|??|??|??|1997|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|potazzine brunello di montalcino|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|piane visita delle cantine e degustazione vini|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|farnete carmignano riserva 2022 red dry 14 075|??|r|??|??|??|2022|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta le|farnete carmignano 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|difese 075|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|difese|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|colonne vermentino costa toscana 125 abv|it|w|vermentino|toscana|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta le|colonne vermentino 2024|??|w|vermentino|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta le|colonne vermentino 2023|??|w|vermentino|??|??|2023|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta le|colonne vermentino|??|w|vermentino|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta le|colonne plenum costa toscana 2021|it|r|??|toscana|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
X
W|tenuta le|colonne bolgheri superiore 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|colonne bolgheri superiore 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
=450
=450
W|tenuta le|colonne bolgheri superiore 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|colonne bolgheri superi supreme 2015|??|r|??|??|??|2015|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|colonne bolgheri rosso 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|colonne bolgheri rosso 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|colonne bolgheri doc red 2018 135 abv|??|r|??|??|??|2018|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta le|colonne bolgheri 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|calcinate|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|calcinaie vernaccia di san gimignano 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|calcinaie vernaccia di san gimignano|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=461
W|tenuta le|calcinaie ingredienti uva toscana 2017 organic|it|r|??|toscana|??|2017|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta le|calcinaie di simone santini vernaccia vernaccia di san gimignano docg italy|it|r|??|??|??|NV|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta le|calcinaie di simone santini vernaccia di san gimignano docg tuscany italy 2022|it|r|??|tuscany|??|2022|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta le|calcinaie chianti colli senesi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; massas; queijo|seco
=466
W|tenuta le|belle frizato orange sparkling wine|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta larnianone|bragia toscano rosso 22|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta larmonia|una mano lava laltra|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=470
W|tenuta larmonia|pop bianco 2021|??|w|??|??|??|2021|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta larmonia|perla 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
=473
=473
=473
W|tenuta larmonia|lab ufo rose|??|p|??|??|??|NV|12.5|??|leve|petiscos; saladas; comida asiatica|seco
=477
W|tenuta larmonia|lab splendido splendente|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=479
W|tenuta larmonia|lab ribelle 20 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
=481
W|tenuta larmonia|lab juta|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=483
W|tenuta larmonia|lab double effect|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=485
W|tenuta larmonia|lab digrigno|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=487
W|tenuta larmonia|lab diabolik|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=489
W|tenuta larmonia|lab chissenefreisa 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
=491
W|tenuta larmonia|lab asso 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
=493
W|tenuta larmonia|lab ammucca|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=495
W|tenuta larmonia|gioia 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
=497
W|tenuta larmonia|frizzi pop frizzante 2018|??|s|??|??|??|2018|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta larmonia|frizzi pop 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
=500
=500
W|tenuta larmonia|frizzi pop 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
=503
W|tenuta larmonia|freak 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
=505
W|tenuta larmonia|freak|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=507
W|tenuta larmonia|chic 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
=509
W|tenuta larmonia|brio pop 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta larmonia|brio pop 2016|??|r|??|??|??|2016|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta larmonia|brio pop|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta larmonia|brio 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
=514
W|tenuta larmonia|bolla pas dose nm|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=516
W|tenuta larmonia|bolla 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
=518
W|tenuta larmonia|bianco pop 2018|??|w|??|??|??|2018|12.5|??|medio|peixes; frutos do mar; saladas|seco
=520
W|tenuta larmonia|all in 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta lariosa|cavalleggero cannonau di sardegna 2022 red dry 14 075|es|s|cannonau|??|??|2022|12|??|leve|aperitivos; canapes; frutos do mar|seco
W|tenuta lariosa|ame moscato di sardegna 2014|??|w|moscato|??|??|2014|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta larame|tumlin roero rosso 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta larame|tumlin roero lareto 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta larame|tumlin roero docg loreto|??|r|??|??|??|NV|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta larame|tumlin roero 2022 14 ck|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta larame|terre del conte roero arneis 2025 13 ck|??|r|??|??|??|2025|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta larame|terre del conte roero arneis 2025|??|r|??|??|??|2025|13|??|medio|carne vermelha; massas; queijo|seco
=530
W|tenuta larame|roero arneis docg metodo classico fippiane pas dose|??|r|??|??|??|NV|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta larame|garavagna barbera dalba doc superiore|??|r|barbera|??|??|NV|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta larame|fippiane roero arneis docg metodo classico pas dose 2021 in scatola litografata|??|r|??|??|??|2021|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta larame|fippiane roero arneis docg metodo classico pas dose 2021|??|r|??|??|??|2021|13|docg|medio|carne vermelha; massas; queijo|seco
=535
W|tenuta larame|fippiane roero arneis docg metodo classico pas dose 2020|??|r|??|??|??|2020|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta larame|fippiane roero arneis docg metodo classico 2021 13 ck|??|r|??|??|??|2021|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta la|volta cabutto barolo 2020|??|r|??|??|barolo|2020|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta la|viola venticinque forli rosso igt 2018|??|r|??|??|??|2018|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta la|viola trebbiano macerato in terra 2021|??|w|trebbiano|??|??|2021|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta la|viola oddone romagna sangiovese superiore 23|??|r|sangiovese|??|??|NV|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tenuta la|viola il colombarone sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tenuta la|viola il colombarone romagna sangiovese superiore 23|??|r|sangiovese|??|??|NV|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tenuta la|viola frangipane romagna albana secco 24|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta la|viola bolleggio rosato frizzante 2023|??|s|??|??|??|2023|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta la|viola albana secco macerato in terra 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
