W|finca las|moras malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca manzanos|graciano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=233
W|finca manzanos|graciano 2018case only|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|graciano 2021case only|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|graciano doca rioja spain 2023|es|r|??|??|??|2023|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|graciano rioja|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=241
W|finca manzanos|gran reserva rioja|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=244
W|finca manzanos|reserva 2019|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|reserva rioja|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|reserva rioja|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=247
W|finca manzanos|rioja blanco vinas vieja 2021|es|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca manzanos|rioja crianza|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|rioja garnacha 2021|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|rioja gran reserva 2013|es|r|??|??|??|2013|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|rioja gran reserva 2013 gold|es|r|??|??|??|2013|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|rioja gran reserva 2013 gold|es|r|??|??|??|2013|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=253
W|finca manzanos|rioja gran reserva 2013 gold|es|r|??|??|??|2013|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=253
W|finca manzanos|rioja gran reserva 2013 gold|es|r|??|??|??|2013|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=253
W|finca manzanos|rioja gran reserva 2013 gold|es|r|??|??|??|2013|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=253
W|finca manzanos|rioja gran reserva 2013 persoonlijke aanbeveling|es|r|??|??|??|2013|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|rioja rose|es|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca manzanos|tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=260
W|finca manzanos|tempranillo blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca manzanos|tempranillo blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=262
W|finca manzanos|tempranillo blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=262
W|finca manzanos|tempranillo blanco rioja 2021|es|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca manzanos|tempranillo rioja|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|tempranillo rioja 2024|es|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|tempranillo tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|vinas viejas blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca maravilla|maravilla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca margarita|6 meses en barrica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca margarita|coleccion privada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca margarita|joven|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca margarita|rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca margarita|verdejo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca marimu|rot dop 2020|??|r|??|??|??|2020|13.5|dop|medio|carne vermelha; queijo curado; massas|seco
W|finca marimu|single vineyard dop|??|r|??|??|??|NV|13.5|dop|medio|carne vermelha; queijo curado; massas|seco
W|finca marimus|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca marisanchez|15 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca marisanchez|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca marisanchez|roble 2001|??|r|??|??|??|2001|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|martelo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|martelo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=282
W|finca martelo|2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=285
W|finca martelo|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=285
W|finca martelo|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=285
W|finca martelo|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=285
W|finca martelo|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=285
W|finca martelo|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=291
W|finca martelo|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=291
W|finca martelo|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=291
W|finca martelo|reserva 2015|??|r|??|??|??|2015|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|reserva 2015|??|r|??|??|??|2015|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=295
W|finca martelo|reserva 2015|??|r|??|??|??|2015|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=295
W|finca martelo|reserva 2016 la rioja alta|es|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|reserva 2019|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|reserva 2019|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=299
W|finca martelo|reserva bodega torre de ona|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|rioja reserva|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|rioja reserva 2016|es|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca martelo|rioja reserva 2016|es|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=303
W|finca martelo|rioja reserva 2016|es|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=303
W|finca martelo|skrzynka|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca martha|cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca martha|cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca martha|chardonnay 2021|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca martha|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca martha|malbec bonarda 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca martha|malbec tempranillo 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca martha|petit verdot 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca martha|red blend 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca martha|syrah 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca mas|blanc 7 doq priorat|es|w|??|??|??|NV|12.5|doq|leve|peixes; frutos do mar; saladas|seco
W|finca mas|blanc clos de music 2020 blend doq priorat i gaveske|es|w|??|??|??|2020|12.5|doq|leve|peixes; frutos do mar; saladas|seco
W|finca mas|blanc red bat 2023 garnacha blend d o q priorat|es|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca mas|perdut brisat de mas perdut 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mas|perdut cervell de mas perdut tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mas|perdut endogen blanco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca mas|perdut endogen tinto samso 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mas|perdut endogen tinto samso 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mas|perdut ma de mas perdut 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mas|perdut pell de mas perdut 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mas|perdut pell de mas perdut 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=325
W|finca mas|perdut plumo de mas perdut 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mas|perdut vi blanc brisat de mas perdut 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca mas|predut ma de mas perdut white 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca masabor|crianza 2015 edicion limitada toro|??|r|??|??|??|2015|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca matambres|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca meixeman|2018 adegas guimaro|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca meixeman|2020 guimaro|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca meixeman|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca meixeman|single vineyard mencia 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca melandra|verdejo do rueda|es|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca mendel|wines malbec 6 bottles|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca mi|senhora blanco 6 botellas|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca milena|rood biologische wijn vegan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca milena|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca milena|rose castilla bio|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca milena|rose castilla bio|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco|=341
W|finca milena|rose castilla bio|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco|=341
W|finca milena|tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca milena|tempranillo shiraz organic blend|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca milena|tempranillo shiraz organic blend|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=345
W|finca milena|tempranillo shiraz organic blend|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=345
W|finca milena|verdejo biologische wijn vegan|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca milena|verdejo sauvignon organic blend|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca milena|verdejo sauvignon organic blend|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=349
W|finca milena|verdejo sauvignon organic blend|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=349
W|finca millara|blanco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca millara|cuesta de los olivos 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|cuesta de los olivos godello 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|cuesta de los olivos mencia 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|cuesta de los olivos mencia 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|el prohibido|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|el prohibido|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=357
W|finca millara|el prohibido nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|finca millara blanco by raul perez 2017|??|w|??|??|??|2017|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca millara|finca millara mencia 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|lagariza 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|lagariza 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|lagariza 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=363
W|finca millara|nido del cvco 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|ribera de los naranjos 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|ribera de los naranjos 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|spanien|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca millara|vs cvco 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mirador|mirador|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mirador|2014|??|r|??|??|??|2014|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mirador|achaval ferrer|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha; queijo curado; massas|seco
W|finca mirador|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca mirador|malbec 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca misenhora|2023 de casal de arman|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca monastasia|nobel syrah 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca monastasia|pie franco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca monastasia|pie franco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=377
W|finca monasterio|monasterio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca monasterio|monasterio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=379
W|finca monasterio|rioja doca 2021 baron de ley|es|r|??|??|??|2021|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|moncloa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|10 barricas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|2018 tinto c6|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|2019 tinto c6|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=387
W|finca moncloa|2021 tinto c6|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|6 barricas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|barrels selection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|barrels selection 2017 c6|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|cabernet sauvignonsyrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca moncloa|cabernet syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca moncloa|cabernet t34|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca moncloa|syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca moncloa|syrah cabernet rotwein wein trocken spanien 12 x 0|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca moncloa|syrah cabernet rotwein wein trocken spanien 3 x 0|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca moncloa|syrah cabernet rotwein wein trocken spanien 6 x 0|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca moncloa|tintilla de rota|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|tintilla de rota|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=400
W|finca moncloa|tintilla edicion limitada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|tradicional vinedos propios 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca moncloa|vino tinto con caracter andaluz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca monica|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca monica|rioja|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca monica|rioja crianza 2021|es|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca monica|rioja tempranillio|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca monica|rioja tempranillo 2020|es|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca monica|tempranillo rioja|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca montalvillo|vino tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca montepedroso|montepedroso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca montepedroso|rueda verdejo 2024|es|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca montepedroso|verdejo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca montepedroso|verdejo 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca montepedroso|verdejo 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco|=415
W|finca montepedroso|verdejo 2024 sobre lias rueda|es|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca monteveiga|monteveiga|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca monteveiga|mar de frades ribera del ulla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca monteviejo|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca montico|montico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca montico|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca montico|blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca montote|reserva 2014|??|r|??|??|??|2014|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca montote|rioja crianza blanco 2022|es|w|??|??|??|2022|12.5|crianza|leve|peixes; frutos do mar; saladas|seco
W|finca montote|rioja crianza sauvignon blanc|es|w|??|??|??|NV|12.5|crianza|leve|peixes; frutos do mar; saladas|seco
W|finca montote|rioja crianza sauvignon blanc|es|w|??|??|??|NV|12.5|crianza|leve|peixes; frutos do mar; saladas|seco|=426
W|finca montote|rioja crianza sauvignon blanc|es|w|??|??|??|NV|12.5|crianza|leve|peixes; frutos do mar; saladas|seco|=426
W|finca montote|rioja reserva|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca montote|rioja sauv blanc|es|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca montote|sauvignon blanc 2020|??|w|??|??|??|2020|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca mores|3 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mores|montsant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca munoz|barrel aged tempranillo bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca munoz|cepas viejas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca munoz|coleccion de familia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca munoz|coleccion de la familia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca munoz|coleccion de la familia blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca munoz|tempranillo de la tierra de castilla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca munoz|white coleccion de la familia barrel fermented|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca museum|museum|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|cigales reserva 2019|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|cigales reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|een verborgen schat in cigales lees meer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|el perdiguero crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|la renacida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|la renacida 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|museum gigales reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|museum numerus clausus 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|museum reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|numerus clausus in wooden presentation box|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|numerus clausus reserva 2019|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|reserva 2021|??|r|??|??|??|2021|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|reserva cigales|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|reserva cigales|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=455
W|finca museum|reserva cigales|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=455
W|finca museum|reserva cigales 2019|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|reserva lees meer|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca museum|rose cigales|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca museum|vinea crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca museum|vinea crianza 2020|??|r|??|??|??|2020|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca nadal|de la boadella nadal original reserva brut|??|s|??|??|??|NV|12|reserva|leve|aperitivos; frutos do mar; canapes|brut
W|finca nadal|de la boadella salvatge brut nature 2015|??|s|??|??|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|finca nadal|de la boadella salvatge reserva rose 2018|??|p|??|??|??|2018|12.5|reserva|leve|saladas; aves; queijos leves|seco
W|finca natalina|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca natalina|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=467
W|finca natalina|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=467
