W|damarino|damarino|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame nature|brasserie la montagnarde|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame negrette|chateau de belaygues|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame noir|2022 domaine des balisiers|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame palm|vibrator periwinkle|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame paufine|2023 paul henri soler|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame reserve|wijndomein holset|fr|r|??|??|??|NV|13.5|RESERVE|encorpado|carne vermelha, queijo|seco
W|dame rouge|ii day 7 jima winery 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame sex|socks|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame syme|vintage cuvee 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame van|holset reserve domein holset|fr|r|??|??|??|NV|13.5|RESERVE|encorpado|carne vermelha, queijo|seco
W|dame victoria|victoria|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damejane champagne|rose henri giraud|fr|s|??|champagne|champagne|NV|12|??|medio|aperitivos, frutos do mar|brut
W|damejeanne|damejeanne|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damejeanne|2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damekurv rose|sdt og salt|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|damepose|damepose|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damer i|yoga positur 4 stk ass|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dames de bonpas|cotes du rhone villages|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dames enkelsokken|2 paar naturel|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dames the|made by women cheeseboard selection|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dameskra bolcher|bolcher|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dameskra bolsjer|mols bolsjer|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damesokker pippi|langstrmpe|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damesokker pippi|langstrmpe hr nilsson|hr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damespakket|damespakket|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damespakket deluxe|deluxe|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damgo beaded|earrings|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dami ichibiya|freezedried fruit chip banana 20g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dami ichibiya|freezedried fruit chip blueberry 15g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dami ichibiya|freezedried fruit chip mandarine 17g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dami ichibiya|freezedried fruit chip melon 15g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dami ichibiya|freezedried fruit chip pear 20g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dami ichibiya|freezedried fruit chip pineapple 15g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dami ichibiya|freezedried fruit chip strawberry 15g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dami ichibiya|freezedried fruit chip sweet corn 30g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damian|damian|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damian alicante|addomesticato|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damian alicante|addomesticato|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=274
W|damian betular|cookies|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damian doc|2022|fr|r|??|??|??|2022|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|damian gewurztraminer|doc|fr|w|gewurztraminer|??|??|NV|12.5|DOC|medio|peixe, frutos do mar|seco
W|damian kornell|alto adige gewurztraminer doc 2024|fr|w|gewurztraminer|??|??|2024|12.5|DOC|medio|peixe, frutos do mar|seco
W|damian marselan|oak|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damian marselan|unoaked|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiana|damiana|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiana|damiana|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=282
W|damiana guaycura|guaycura|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiana guaycura|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiana herbal|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiana|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiana|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=287
W|damiana|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=287
W|damiana|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=287
W|damiana|liqueur 60 proof|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiana|liqueur guaycura mexico|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiana|liqueur mexico|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiane kisi|kisi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiane rkatsiteli|rkatsiteli|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiane saperavi|saperavi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiani crostini|klasszikus kreker 75g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damianitza winery|melnik 13 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damianitza winery|no mans land redark 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano cavallini|insolita pet nat|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|damiano cavallini|spanna altro colline novaresi rosso piedmont italy|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|botte ventidue 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|botte ventidue bianco 2021|fr|w|??|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|damiano ciolli|cesanese di olevano romano doc cirisium 2018|fr|r|??|??|??|2018|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|cesanese di olevano romano silene 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|cesanese di olevano romano silene 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|cesanese doc cirsium 2016|fr|r|??|??|??|2016|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|cesanese doc silene 2024|fr|r|??|??|??|2024|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|cesanese silene|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|cesanese silene 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|cirsium cesanese riserva 2019|fr|r|??|??|??|2019|13.5|RISERVA|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|franco 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|franco 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=312
W|damiano ciolli|franco cabernet franc blend lazio italy 2023|it|r|cabernet franc|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|franco rosso 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|silene 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|silene 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=316
W|damiano ciolli|silene 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|silene cesanese|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|silene cesanese 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|silene cesanese 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|silene cesanese di olevano romano superiore 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|silene cesanese doc superiore 2022|fr|r|??|??|??|2022|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|silene cesanse de olevano romano17|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|silene olevano romano 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damiano ciolli|silene olevano romano cesanese|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damianu|damianu|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico|290|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico aglio|alla marchigiana|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico anchovy|fillets|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico artichoke|hearts|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico artichoke|hearts 3040 255kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico artichoke|hearts in sunflower oil 280g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico boiled|family mushrooms 470g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico caperberries|sicilian style|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico champignon|alla napoletana|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico chargrilled|artichokes naples style 280g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico eggplant|strips naples style|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico electum|chargrilled peppers|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico friarielli|alla napoletana|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico funghi|misti alla calabrese|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico gherkins|gherkins|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico giardiniera|giardiniera|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico olive|farcite|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico pesto|alla genovese|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico rustic|mushrooms naples style 280g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico sundried|tomatoes 11kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico sundried|tomatoes in sunflower oil|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico sundried|tomatoes in sunflower oil 280g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damico sundried|tomatoes pesto 530g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien|damien|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien bastian|mon blanc des alpes vin de savoie aop|fr|w|??|??|??|NV|12.5|AOP|medio|peixe, frutos do mar|seco
W|damien bastian|mon blanc orange vin de savoie aop|fr|w|??|??|??|NV|12.5|AOP|medio|peixe, frutos do mar|seco
W|damien bastian|ton rouge delevage vin de savoie aop|fr|r|??|??|??|NV|13.5|AOP|encorpado|carne vermelha, queijo|seco
W|damien bastian|ton rouge du lac vin de savoie aop|fr|r|??|??|??|NV|13.5|AOP|encorpado|carne vermelha, queijo|seco
W|damien bielle|nicolas roux bazooka|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien briard|100 vintage blanc|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damien briard|100 vintage rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|damien briard|100 vintage rouge|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien bureau|amandine 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien bureau|amandine white chenin blanc 2019|fr|w|chenin blanc|??|??|2019|12.5|??|medio|peixe, frutos do mar|seco
W|damien bureau|la poivrotte vdf 2020|fr|r|??|??|??|2020|13.5|VDF|encorpado|carne vermelha, queijo|seco
W|damien bureau|paloma 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien bureau|paloma 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien burle|estce que 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien coquelet|beaujolais blanc 2022 beaujolais france|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|damien coquelet|beaujolais bundle|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien coquelet|beaujolais bundle|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=367
W|damien coquelet|beaujolais new veau york|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien coquelet|beaujolais newveau york 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien coquelet|chiroubles 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien coquelet|chiroubles aoc|fr|r|??|??|??|NV|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|damien coquelet|chiroubles vielles vignes 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien coquelet|cote du py morgon aoc|fr|r|??|??|??|NV|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|damien coquelet|gamay mignon|fr|r|gamay|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien coquelet|gamay mignon beaujolais aoc|fr|r|gamay|??|??|NV|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|damien coquelet|kes ki dit beaujolais 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien coquelet|morgon cote du py|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien coquelet|newveau york 2021 beaujolais nouveau|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien coquelet|pouillyfuisse aoc|fr|r|??|??|??|NV|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|damien et|vincent papin clisson 2020 muscadet cru|fr|w|muscadet|??|??|2020|12.5|??|medio|peixe, frutos do mar|seco
W|damien guadagnolo|gamay 2022|fr|r|gamay|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien guadagnolo|poulsard 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien hugot|brut blanc de blancs based 2014|fr|s|??|??|??|2014|12|??|medio|aperitivos, frutos do mar|brut
W|damien hugot|brut rose nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|damien hugot|brut rose nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=385
W|damien hugot|rose extra brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|extra brut
W|damien laureau|les genets 2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|les genets 2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|les genets 2013|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|les genets 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|les genets 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco|=391
W|damien laureau|les genets 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|petite roche 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|petite roche 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco|=394
W|damien laureau|petite roche 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|petite roche 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=396
W|damien laureau|savennieres bel ouvrage 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres bel ouvrage 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres bel ouvrage 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=399
W|damien laureau|savennieres bel ouvrage 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=399
W|damien laureau|savennieres bel ouvrage 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres lalliance 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres lalliance 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=403
W|damien laureau|savennieres lalliance 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=403
W|damien laureau|savennieres lalliance 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres lalliance 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres lalliance loire france 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres le bel ouvrage loire france 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres le bel ouvrage loire france 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres les genets|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres les genets 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres les genets 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres les genets 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=413
W|damien laureau|savennieres les genets 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres les genets 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=415
W|damien laureau|savennieres les genets 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|savennieres les genets 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=417
W|damien laureau|savennieres les genets loire france 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|the brooms 2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|the brooms 2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|the genets 2013|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien laureau|the genets 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien martin|bourgogne blanc 2023|fr|w|??|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|damien martin|bourgogne blanc burgundy france 2023|fr|w|??|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|damien martin|bourgogne blanc chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damien martin|bourgogne blanc chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=426
W|damien martin|bourgogne pinot noir burgundy france 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien martin|bourgogne rouge|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien martin|bourgogne rouge|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=429
W|damien martin|bourgogne rouge 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien martin|bourgogne rouge 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=431
W|damien martin|macon verze 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien martin|macon verze 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien martin|macon verze 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=434
W|damien martin|pouilly fuisse 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien martin|pouilly fuisse 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=436
W|damien martin|saint veran|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien martin|saint veran 2021 new 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien martin|saint veran 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien martin|saint veran 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=440
W|damien martin|saint veran 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=440
W|damien menut|cabernet franc 2021|fr|r|cabernet franc|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien menut|cabernet franc vdf 2021|fr|r|cabernet franc|??|??|2021|13.5|VDF|encorpado|carne vermelha, queijo|seco
W|damien menut|cabernet sauvignon 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien menut|gamay 2020|fr|r|gamay|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien menut|gamay 2021|fr|r|gamay|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien menut|grolleau 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien menut|sauvignon 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien menut|sauvignon 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien moyer|moyer|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien moyer|lextra brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|extra brut
W|damien moyer|lextra brut montlouis sur loire|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|extra brut
W|damien moyer|montlouissurloire 2022 extra brut|fr|s|??|??|??|2022|12|??|medio|aperitivos, frutos do mar|extra brut
W|damien pinon|pinon|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien pinon|chapitre xv brut nature vouvray nv|fr|s|chenin blanc|loire|vouvray|NV|12|??|medio|aperitivos, frutos do mar|extra brut
W|damien pinon|chenin blanc fines en bulles brut nv|fr|s|chenin blanc|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|damien pinon|emotion vouvray white semisweet 14 075|fr|w|chenin blanc|loire|vouvray|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damien pinon|tuffo vouvray sec|fr|w|chenin blanc|loire|vouvray|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damien pinon|tuffo vouvray sec|fr|w|chenin blanc|loire|vouvray|NV|12.5|??|medio|peixe, frutos do mar|seco|=459
W|damien pinon|tuffo vouvray sec 2022|fr|w|chenin blanc|loire|vouvray|2022|12.5|??|medio|peixe, frutos do mar|seco
W|damien pinon|vouvray brut nv|fr|s|chenin blanc|loire|vouvray|NV|12|??|medio|aperitivos, frutos do mar|brut
W|damien pinon|vouvray le brut|fr|s|chenin blanc|loire|vouvray|NV|12|??|medio|aperitivos, frutos do mar|brut
W|damien pinon|vouvray le brut de brut nv|fr|s|chenin blanc|loire|vouvray|NV|12|??|medio|aperitivos, frutos do mar|brut
W|damien pinon|vouvray le brut de brut nv|fr|s|chenin blanc|loire|vouvray|NV|12|??|medio|aperitivos, frutos do mar|brut|=464
W|damien resama|proprietary red wine california 2021|us|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien schlegel|gewurztraminer 2024|fr|w|gewurztraminer|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|damien schlegel|pinot auxerrois 2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien schlegel|pinot gris 2024|fr|w|pinot gris|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|damien schlegel|pinot gris vendanges tardives 2015|fr|w|pinot gris|??|??|2015|12.5|??|medio|peixe, frutos do mar|seco
W|damien schlegel|pinot noir 2024|fr|r|pinot noir|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damien schlegel|pinot noir rose 2024|fr|p|pinot noir|??|??|2024|13.5|??|medio|frutos do mar, saladas|seco
W|damien schlegel|riesling 2024|fr|w|riesling|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|damier cushion|601 40x40|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damier cushion|601 60x60|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
