W|giv|pi edt r2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|blanc cru crausot domaine francois lumpp|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc cru crausot domaine ragot|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc cru petit marole francois lumpp 130|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc domaine francois lumpp|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc 1st cru les galaffres by domaine chofflet burgundy france|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc la piece by domaine chofflet burgundy france|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc ac remoissenet 075|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc cave de bissey|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc remoissenet|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc clos des vignes rondes domaine francois lumpp|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc cuvee amelie domaine besson|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc cuvee amelie domaine besson|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=252
W|givry|blanc cuvee amelie domaine besson|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc domaine francois lumpp|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc domaine laurent mouton|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc domaine michel sarrazin et fils sans nom|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc la piece domaine chofflet|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc la teppe des cheneves domaine francois lumpp|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc les dracy michel sarrazin|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc prelude|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc teppe des cheneves domaine francois lumpp|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc teppes de cheneve domaine ragot|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|buissonnier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cellier aux moines cru|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cellier aux moines cru|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cellier aux moines cru|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cellier aux moines|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|champ lalot|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|champ pourot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|champlalot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|champlalot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=271
W|givry|chanson|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|chanson 37|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|chofflet heritage|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|clos de la brulee wit domaine masse|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|clos des vignes rondes domaine francois lumpp|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|clos des vignes rondes domaine francois lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|clos des vignes rondes domaine lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|clos des vignes rondes domaine lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=279
W|givry|clos du cras long rouge cru domaine francois lumpp|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|clos jer cru domaine francois lumpp|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|clos salomon|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|clos salomon|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=283
W|givry|clos solomon|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine davanture|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine davanture rg|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine davanture bl|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine deliance|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine meix au roi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine pascal lemonde|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine steinmaier cru|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine steinmaier cru|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=292
W|givry|domaine steinmaier cru|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=292
W|givry|en cheneves domaine desvignes|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|excellence blanc domaine laurent mouton|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|four bottles rouge rouge 1st cru blanc blanc 1st cru by domaine chofflet burgundy france|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|hautcolombier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|heritage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|la brulee rouge cru domaine francois lumpp|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|la feusee rouge|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|la piece|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|la piece domaine chofflet|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|la piece blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|la plante cru domaine danjeanberthoux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|la ridette|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|la ridette domaine venot appellation givry controlee|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|la teppe des cheneves domaine francois lumpp|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|la teppe des cheneves domaine francois lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|le haut colombier domaine besson|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|le haut colombier rood domaine besson|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|le haut colombier domaine besson|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=310
W|givry|le pied du clou cru domaine francois lumpp|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|les bois chevaux premier cru domaine thenard|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|les bois ronds felix helix|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|les givrotines|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|les grandes vignes|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|les grandes vignes|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=317
W|givry|les grandes vignes|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=317
W|givry|les grognots domaine sarrazin blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|meix au roi rouge domaine danjeanberthoux|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|moustieres heritier de nessoncourt|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|petit marole blanc cru domaine francois lumpp|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|pierre thibault|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|pierre thibault|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=324
W|givry|pierre thibault|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=324
W|givry|preface|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru le vigron domaine vincent lumpp bourgogne ac|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru domaine chanzy|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru clos charle rouge domaine laurent mouton|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru clos jus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru clos jus rouge domaine laurent mouton|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru clossaintpaul monopole rouge domaine vincent lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru en choue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru la grande berge rouge domaine laurent mouton|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru le vigron blanc domaine vincent lumpp|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|premier cru le vigron rouge domaine vincent lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru les galaffres blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|premier cru les grands pretans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|premier cru les grands pretans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=340
W|givry|remoissenet pere et fils|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge 1 cru servoisine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge cru domaine francois lumpp|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge cru clos jus domaine francois lumpp|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge cru le pied du clou domaine francois lumpp|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge cru petit marole domaine francois lumpp 130|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge les bois gauthiers michel sarrazin|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge domaine deliance loire france|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge domaine pigneret fils|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge domaine pigneret fils|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=352
W|givry|rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge 1st cru en chue by domaine chofflet burgundy france|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge cave de bissey|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge perraud|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge heritage by domaine chofflet burgundy france|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge clos charle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge clos de la roche michel sarrazin|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge domaine laurent mouton|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge domaine ragot vieilles vignes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge le haut colombier domaine besson|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge le haut colombier domaine besson|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge preface|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge premier cru les bois gautier domaine besson|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge sous la roche michel sarrazin|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge teppe des cheneves domaine francois lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge teppe des cheneves domaine francois lumpp|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|rouge vieilles vignes domaine besson|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|servoisine cru|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|servoisine cru|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|teppe des cheneves domaine francois lumpp|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|teppe des cheneves domaine lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|teppe des cheneves domaine lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=375
W|givry|tilapaisesti loppu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|vermelho|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|vieilles vignes pelletier|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|vieilles vignes domaine besson rg|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|village rouge domaine deliance|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givrypierre|thibault|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giy|uchiki kuri squash|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|cuvee de noirs late release|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|baga vinhas velhas tinto|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|curtimenta branco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas branco|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|baga vinhas velhas bairrada tinto|pt|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|brut nature cuvee de noirs espumante|??|s|??|??|??|2017|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|giz|curtimenta|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|curtimenta|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|giz|curtimenta bairrada branco|pt|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|curtimenta branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|curtimenta branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=394
W|giz|curtimenta branco vinho bairrada|pt|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|curtimenta white|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giz|cuvee de noirs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|cuvee de noirs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=398
W|giz|cuvee de noirs espumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|cuvee de noirs late release|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|de cera acrilex com 12 unidades 9012|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|de cera crayola com gliter 24 und c518300|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|de cor crayola tropicais 24 pecas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|espumante cuvee de noirs|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|espumante cuvee de noirs|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|espumante cuvee de noirs late release|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|espumante cuvee noirs|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|espumante late release|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|old vines red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|old vines white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giz|sparkling cuvee de noirs brut nature|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|giz|tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinha das cavaleiras|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|vinha das cavaleiras|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=414
W|giz|vinha das cavaleiras|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=414
W|giz|vinha das cavaleiras|es|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|vinha das cavaleiras baga tinto|es|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|vinha das cavaleiras tinto|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|vinha das cavaleiras tinto|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=419
W|giz|vinha das cavaleiras tinto|es|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|vinha velhas tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinha velhas tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=422
W|giz|vinhas das cavaleiras tinto vinho bairrada baga|pt|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giz|vinhas velhas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas branco|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas branco|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=426
W|giz|vinhas velhas rose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giz|vinhas velhas baga|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas bairrada branco|pt|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=431
W|giz|vinhas velhas branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=431
W|giz|vinhas velhas branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=431
W|giz|vinhas velhas branco|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas branco|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=426
W|giz|vinhas velhas branco|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas branco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas branco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=438
W|giz|vinhas velhas branco vinho bairrada|pt|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas red|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giz|vinhas velhas rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=443
W|giz|vinhas velhas rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=443
W|giz|vinhas velhas rose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=428
W|giz|vinhas velhas rose|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giz|vinhas velhas rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giz|vinhas velhas rose vinho bairrada|pt|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giz|vinhas velhas tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=441
W|giz|vinhas velhas tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=441
W|giz|vinhas velhas tinto|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas tinto|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas tinto|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas tinto vinho bairrada baga|pt|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas tinto|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giz|vinhas velhas white|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giz|vinho vinhas velhas branco 075|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giza|ventilado 300x marca valtierra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gizeh|gizeh|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gizeh|1 14|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gizeh|1 14 super fine 50|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gizeh|1 14 super fine tips 50|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gizeh|8|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gizeh|all pink king size slim tips|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gizeh|all pink rolls slim 5 tips|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gizeh|birkoflor black|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gizeh|birkoflor gold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gizeh|birkoflor stone nubuck|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gizeh|birkoflor white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gizeh|black cones tip|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
