1. W|casadei sogno mediterraneo|red wine mediterranean blend toscana italy 2017|pt|r|??|toscana|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|casal das aires|vinhas velhas fernaopires branco 2019|pt|w|??|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
225. W|casal das freiras aragonez|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|casal das freiras|arinto 2020|pt|w|arinto|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
227. W|casal das freiras colheita|branco 2020|pt|w|??|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
228. W|casal das freiras colheita|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|casal das freiras|reserva branco 2019|pt|w|??|??|??|2019|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
230. W|casal das freiras|reserva tinto 2018|pt|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
231. W|casal das freiras|syrah 2019|pt|r|syrah|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
232. W|casal das freiras|touriga nacional cabernet sauvignon 2016|pt|r|cabernet sauvignon, touriga nacional, touriga|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
233. W|casal de|arman|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|casal de|arman|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=233
235. W|casal de arman|2017 ribeiro blanco finca os loureiros|pt|r|loureiro|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|casal de arman|2022 ribeiro blanco|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|casal de arman|2023 ribeiro|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|casal de arman|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|casal de arman|2024 do ribeiro|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|casal de arman|2024 tinto ribeiro|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|casal de arman|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
242. W|casal de arman|blanco 12 botellas|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|casal de arman|blanco 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
244. W|casal de arman|blanco 2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|casal de arman eira dos mouros treixadura ribeiro|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|casal de arman eira dos mouros treixadura ribeiro|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=245
247. W|casal de arman finca isabel|millan|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|casal de arman finca|misenhora|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|casal de arman finca os loureiros|2022|pt|r|loureiro|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|casal de arman os|loureiros|pt|r|loureiro|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|casal de arman ribeiro|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|casal de arman ribeiro|blanco 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|casal de arman ribeiro|blanco 2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|casal de arman ribeiro|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|casal de arman ribeiro|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=254
256. W|casal de arman ribeiro|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=254
257. W|casal de arman|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|casal de loivos baton douro|tinto 2008|pt|r|??|douro|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|casal de paula|2023 do ribeiro|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|casal de paula|blanco ribeiro do|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|casal de paula ribeiro|blanco 2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|casal de paula|tinto ribeiro do|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|casal de santa maria|2023 chardonnay|pt|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
264. W|casal de santa maria colares ramisco|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|casal de santa maria grande|reserva pinot noir tinto colares 2020|pt|r|pinot noir|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
266. W|casal de santa maria malvasia|branco colares 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
267. W|casal de santa maria mar de rosas|rose colares 2022|pt|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
268. W|casal de santa maria|reserva branco colares 2022|pt|w|??|??|??|2022|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
269. W|casal de santa maria|reserva tinto colares 2019|pt|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
270. W|casal de santa maria|sauvignon blanc 2022|pt|w|sauvignon blanc|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
271. W|casal de santa maria|sauvignon blanc colares 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
272. W|casal de ventozeal pseudonimo pet|nat|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
273. W|casal de|ventozela|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
274. W|casal de ventozela|albarinho|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
275. W|casal de ventozela|alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
276. W|casal de ventozela|alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=275
277. W|casal de ventozela|alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=275
278. W|casal de ventozela|alvarino|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|casal de ventozela|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
280. W|casal de ventozela|branco 2023 vinho verde doc bile polosuche 0|pt|w|??|vinho verde|??|2023|12.5|doc|leve|frutos do mar, peixes, saladas|seco
281. W|casal de ventozela|branco hvidvin|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
282. W|casal de ventozela contatto|arinto 2024 vinho verde portugal|pt|w|arinto|vinho verde|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
283. W|casal de ventozela espadeiro|rose 2024 vinho verde doc ruzove polosuche 0|pt|p|??|vinho verde|??|2024|12.5|doc|leve|saladas, aves, queijos leves|seco
284. W|casal de ventozela gigo|alvarinho 2024|pt|w|alvarinho|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
285. W|casal de ventozela loureiro|2023 vinho verde doc bile suche 0|pt|w|loureiro|vinho verde|??|2023|12.5|doc|leve|frutos do mar, peixes, saladas|seco
286. W|casal de ventozela naranja|avesso|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|casal de ventozela pet|nat|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
288. W|casal de ventozela pseudonimo pet nat|2024|pt|s|??|??|??|2024|12|??|leve|aperitivos, frutos do mar, sushi|brut
289. W|casal de ventozela pseudonimo|petnat|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|casal de ventozela veve|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
291. W|casal de ventozela veve|vinho verde 2024|pt|r|??|vinho verde|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|casal de ventozela|vinho verde 2023 branco|pt|w|??|vinho verde|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
293. W|casal de ventozela|vinho verde dop 2021 hvidvin|pt|r|??|vinho verde|??|2021|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
294. W|casal dei ronchi recioto|2016 valpolicella classico docg|pt|d|??|??|??|2016|10|docg|encorpado|sobremesas, queijos azuis, foie gras|doce
295. W|casal del giglio mater matuta|1997|pt|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|casal del piano|organic rosso picenoe 2023 tenuta dellugolino|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. S
298. W|casal di pari|montecucco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|casal di|serra|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|casal di serra umani ronchi|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|casal di serra verdicchio|classico doc superiore|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
302. W|casal di serra verdicchio dei castelli di jesi|doc classico superiore|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
303. W|casal di serra verdicchio umami|ronchi|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|casal|do conde galileu tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|casal|do ramilo 2019 ramisco colares|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|casal|do ramilo 2020 colares malvasia|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|casal|do ramilo 2021 colheita tinto|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|casal|do ramilo 2021 malvasia colares|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|casal|do ramilo 2022 nativas old vines|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|casal|do ramilo colares malvasia 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|casal|do ramilo colares malvasia 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=310
312. W|casal|do ramilo colares ramisco 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|casal|do ramilo colheita branco 2023|pt|w|??|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
314. W|casal|do ramilo colheita tinto portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|casal|do ramilo jackpot|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|casal|do ramilo jackpot lisboa tinto 2021|pt|r|??|lisboa|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|casal|do ramilo jackpot red lisboa 2022|pt|r|??|lisboa|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|casal|do ramilo lisboa tinto 2020|pt|r|??|lisboa|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|casal|do ramilo lisboa tinto 2021|pt|r|??|lisboa|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|casal|do ramilo malvasia de colares lees project nv|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
321. W|casal|do ramilo nativas 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|casal|do ramilo nv colares malvasia lees project|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|casal|do ramilo red blend vinhas velhas 2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|casal|do ramilo tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. W|casal|do vila ribeiro blanco 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|casal|do vila ribeiro tinto 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|casal dos capelinhos|10 anos tawny porto|pt|f|??|porto|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
328. W|casal dos capelinhos|40 anos tawny porto|pt|f|??|porto|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
329. W|casal dos capelinhos|branco 2020|pt|w|??|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
330. W|casal dos capelinhos|reserva tinto 2017|pt|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
331. W|casal dos capelinhos|tinto 2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|casal dos capelinhos|vintage 2016 porto|pt|f|??|porto|??|2016|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
333. W|casal dos jordoes douro porto finest|reserve nv|pt|f|??|douro|??|NV|20|reserve|encorpado|sobremesas, queijos azuis, foie gras|doce
334. W|casal dos jordoes douro porto tawny|nv|pt|f|??|douro|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
335. W|casal dos jordoes douro porto tawny|nv|pt|f|??|douro|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=334
336. W|casal dos jordoes finest|reserve|pt|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
337. W|casal dos jordoes quinta esteveira|reserva 2015 doc douro|pt|r|??|douro|??|2015|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
338. W|casal dos jordoes|vintage 2004|pt|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|casal dos jordoes|vintage 2011|pt|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|casal|extraordinario|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|casal farneto cimaio marche bianco|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|casal farneto cimaio marche|igt bianco single vineyard late harvest|pt|d|??|??|??|NV|10|igt|encorpado|sobremesas, queijos azuis, foie gras|doce
343. W|casal farneto cimare|rosso piceno doc|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
344. W|casal farneto collequieto montepulciano|2024|pt|r|montepulciano|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
345. W|casal farneto collequieto montepulciano|dabruzzo|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
346. W|casal farneto collequieto|pecorino 2021 bottle|pt|w|??|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
347. W|casal farneto collequieto|pecorino 2021 case|pt|w|??|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
348. W|casal farneto collequieto|pecorino 2022|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
349. W|casal farneto collequieto|pecorino 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
350. W|casal farneto collequieto|rosso piceno 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
351. W|casal farneto collequieto|rosso piceno 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|casal farneto collequieto verdicchio|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|casal farneto crisio verdicchio dei castelli di jesi|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|casal farneto crisio verdicchio riserva|2020|pt|r|??|??|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
355. W|casal farneto crisio verdicchio riserva|2021|pt|r|??|??|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
356. W|casal farneto diego verdicchio dei castelli di jesi|doc classico organico|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
357. W|casal farneto fontevecchia|verdicchio|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
358. W|casal farneto fontevecchia verdicchio dei castelli di jesi|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|casal farneto fontevecchia verdicchio dei castelli di jesi|classico superiore 2023|pt|r|??|??|??|2023|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
360. W|casal farneto fontevecchia verdicchio dei castelli di jesi|doc 2020|pt|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
361. W|casal farneto fontevecchia verdicchio dei castelli di jesi|doc 2024|pt|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
362. W|casal farneto fontevecchia verdicchio dei castelli di jesi|doc italy|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
363. W|casal farneto frida|passerina igt marche organico|pt|w|passerina|??|??|NV|12.5|igt|leve|frutos do mar, peixes, saladas|seco
364. W|casal farneto frida|passerina vino biologico 2023|pt|w|passerina|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
365. W|casal farneto|montepulciano|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
366. W|casal farneto montepulciano dabruzzo|doc 2022|pt|r|montepulciano|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
367. W|casal farneto otto borghi|rosso 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|casal farneto pao orange|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|casal farneto pao orange|wine 2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|casal farneto|pecorino doc falerio|pt|w|??|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
371. W|casal farneto|pecorino quirico doc falerio|pt|w|??|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
372. W|casal farneto quirico falerio|pecorino 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
373. W|casal farneto rosae lacrima di morro dalba|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|casal farneto rosae lacrima di morro dalba|doc|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
375. W|casal farneto solustro|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|casal farneto verdicchio dei castelli di jesi|classico riserva crisio 2020|pt|r|??|??|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
377. W|casal|figueira|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|casal figueira|2020 vermelho tinto|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|casal figueira adiado|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|casal figueira adiado|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=379
381. W|casal figueira|antonio|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|casal figueira antonio|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|casal figueira antonio|branco 2022|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
384. W|casal figueira tinta miuda vermelho|tinto 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|casal figueira|tinto 2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|casal figueira vindima tardia lisboa|branco|pt|w|??|lisboa|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
387. W|casal furcos rocio godello|2021|pt|w|godello|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
388. W|casal gar|rose non vintage|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
389. W|casal gar vv|red 18|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|casal gar vv|red 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
393. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
394. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
395. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
396. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
397. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
398. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
399. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
400. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
401. W|casal|garcia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
402. W|casal garcia|075|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|casal garcia|075|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=402
404. W|casal garcia|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|casal garcia|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=404
406. W|casal garcia|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
407. W|casal garcia|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=406
408. W|casal garcia|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=406
409. W|casal garcia|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=406
410. W|casal garcia|branco 37|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
411. W|casal garcia|branco 95|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
412. W|casal garcia|branco meia garrafa|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
413. W|casal garcia|branco sweet vinho verdevr minho bile sladke 0|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
414. W|casal garcia|branco verde|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
415. W|casal garcia|branco vinho verde doc bile polosuche 0|pt|w|??|vinho verde|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
416. W|casal garcia casal garcia fruitzy|maracuja|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|casal garcia casal garcia fruitzy|morango|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|casal garcia|douro|pt|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|casal garcia fresh verde|tinto 0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|casal garcia fresh verde|tinto 0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=419
421. W|casal garcia fruitzy|maracuja|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|casal garcia fruitzy|maracuja|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=421
423. W|casal garcia fruitzy maracuja|075|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|casal garcia fruitzy melao|075|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|casal garcia fruitzy|melon|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|casal garcia fruitzy melon|0 portugalia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|casal garcia fruitzy|morango|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
428. W|casal garcia fruitzy|morango|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=427
429. W|casal garcia fruitzy morango|075|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|casal garcia fruitzy|peach|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|casal garcia fruitzy|pear|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|casal garcia fruitzy pessego|075|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|casal garcia fruitzy|strawberry|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|casal garcia fruitzy|strawberry|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=433
435. W|casal garcia fruitzy strawberry|0 portugalia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|casal garcia lisboa|red|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|casal garcia lisboa|red 2021|pt|r|??|lisboa|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|casal garcia lisboa|vinho tinto|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|casal garcia lisboa|vinho tinto|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=438
440. W|casal garcia|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
