1. W|cascina ghercina|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|cascina massara verduno pelaverga|2023 piedmont italy|it|r|??|piedmont|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|cascina massaretti riviera ligure di ponente pigato|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|cascina melognis|ardy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|cascina melognis|ardy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=213
215. W|cascina melognis|novamen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|cascina melognis|novamen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=215
217. W|cascina montagnola|petit verdot margherita 2016 75012 2016|??|r|petit verdot|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|cascina|morassino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|cascina morassino|barbaresco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|cascina morassino|barbaresco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=219
221. W|cascina morassino|barbaresco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=219
222. W|cascina morassino|barbaresco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=219
223. W|cascina morassino barbaresco|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|cascina morassino barbaresco|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=223
225. W|cascina morassino barbaresco|docg morassino 2021|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
226. W|cascina morassino barbaresco morassino|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|cascina morassino barbaresco morassino barbaresco|docg piedmont italy|it|r|??|piedmont|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
228. W|cascina morassino barbaresco morassino|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
229. W|cascina morassino barbaresco ovello|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
230. W|cascina morassino barbaresco ovello|2021|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|cascina morassino barbaresco ovello|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
232. W|cascina morassino|barbera dalba superiore 2021|??|r|barbera|??|??|2021|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
233. W|cascina morassino bianco alfredo e figli ovello barbaresco|2010|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|cascina morassino dolcetto dalba|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|cascina morassino langhe|nebbiolo 2019|??|r|nebbiolo|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
236. W|cascina morassino langhe|nebbiolo 2019|??|r|nebbiolo|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=235
237. W|cascina morassino langhe|nebbiolo 2019|??|r|nebbiolo|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=235
238. W|cascina morassino langhe|nebbiolo 2021|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
239. W|cascina morassino langhe|nebbiolo doc|??|r|nebbiolo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
240. W|cascina morassino ovello barbaresco|2012|it|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|cascina morassino ovello barbaresco|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
242. W|cascina nuova nizza|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|cascina orizzonte langhe|chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
244. W|cascina pastori colombo|combideal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|cascina penna currado|barbera|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
246. W|cascina penna currado|barbera dalba carra 2023|??|r|barbera|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
247. W|cascina penna currado|barbera dalba carra 2023|??|r|barbera|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=246
248. W|cascina penna currado bricco lago|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|cascina penna currado bricco lago langhe|nebbiolo 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
250. W|cascina penna currado bricco lago langhe|nebbiolo 2023 piedmont italy|it|r|nebbiolo|piedmont|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
251. W|cascina penna currado bricco lago|nebbiolo 2024|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
252. W|cascina penna currado carra|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|cascina penna currado carra|barbera dalba superiore 2023|??|r|barbera|??|??|2023|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
254. W|cascina penna currado derthona timorasso|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|cascina penna currado derthona timorasso|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|cascina penna currado dolcetto dabla bricco|lago|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|cascina penna currado dolcetto dalba bricco|lago|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|cascina penna currado dolcetto dalba bricco lago|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|cascina penna currado dolcetto dalba bricco lago|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|cascina penna currado dolcetto dalba bricco lago|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|cascina penna currado dolcetto dalba bricco lago|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=260
262. W|cascina penna currado dolcetto dalba bricco lago|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=260
263. W|cascina penna currado langhe|nebbiolo bricco lago 2022|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
264. W|cascina penna currado langhe|nebbiolo bricco lago 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
265. W|cascina penna currado langhe|nebbiolo bricco lago 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=264
266. W|cascina penna currado langhe|nebbiolo bricco lago 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=264
267. W|cascina penna currado langhe|nebbiolo bricco lago 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=264
268. W|cascina penna currado langhe|nebbiolo bricco lago 2024|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
269. W|cascina penna currado langhe|nebbiolo superiore san sebastiano 2023|??|r|nebbiolo|??|??|2023|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
270. W|cascina penna currado|nebbiolo dalba san sebastiano 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
271. W|cascina penna currado san sebastiano langhe|nebbiolo 23|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
272. W|cascina penna currado san sebastiano|nebbiolo dalba superiore 2023|??|r|nebbiolo|??|??|2023|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
273. W|cascina penna currado timorasso derthona|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
274. W|cascina penna currado timorasso derthona|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=273
275. W|cascina penna currado timorasso derthona|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=273
276. W|cascina penna currado timorasso ep|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|cascina penna currado vermouth di torino|rosso di barbaresco nv|it|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
278. W|cascina penna currado vermouth di torino superiore bianco di timorasso derthona nv wermut|xx|??|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
279. W|cascina penna currado vermouth di torino superiore|rosso di barbaresco nv|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
280. W|cascina pennacurrado|barbera dalba carra 2022|??|r|barbera|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
281. W|cascina pennacurrado|barbera dalba superiore carra 2023|??|r|barbera|??|??|2023|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
282. W|cascina pennacurrado bricco lago dolcetto dalba piedmont italy|2023|it|r|??|piedmont|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|cascina pennacurrado bricco lago langhe|nebbiolo 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
284. W|cascina pennacurrado dolcetto dalba bricco lago|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|cascina pennacurrado dolcetto dalba bricco lago|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|cascina pennacurrado langhe|nebbiolo 2022|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
287. W|cascina pennacurrado langhe|nebbiolo bricco lago|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
288. W|cascina pennacurrado langhe|nebbiolo bricco lago 2022|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
289. W|cascina pennacurrado langhe|nebbiolo bricco lago 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
290. W|cascina pennacurrado|nebbiolo dalba san sebastiano 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
291. W|cascina pennacurrado|nebbiolo dalba superiore san sebastiano 2023 prearrival eta 22526|??|r|nebbiolo|??|??|2023|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
292. W|cascina pennacurrado timorasso derthona|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|cascina pennacurrado timorasso derthona|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|cascina pennacurrado timorasso derthona|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=293
295. W|cascina pennacurrado timorasso derthona ep|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|cascina pennacurrado timorasso dethona|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|cascina perfumo|barbera del monferrato giuditta|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
298. W|cascina perfumo|chardonnay alessandro magno|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
299. W|cascina perfumo|rose il danese|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
300. W|cascina perrone|barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
301. W|cascina perrone|nebbiolo monferrato doc|??|r|nebbiolo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
302. W|cascina pian dor bricco riella|moscato dasti 2025|??|w|moscato|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
303. W|cascina pian dor bricco riella|moscato dasti docg 2023|??|w|moscato|??|??|2023|12.5|docg|leve|frutos do mar, peixes, saladas|seco
304. W|cascina pian dor bricco riella|moscato dasti docg italy|??|w|moscato|??|??|NV|12.5|docg|leve|frutos do mar, peixes, saladas|seco
305. W|cascina pian dor bricco riella|moscato dasti docg italy 2022|??|w|moscato|??|??|2022|12.5|docg|leve|frutos do mar, peixes, saladas|seco
306. W|cascina pian dor muschiato|moscato dolce muscat piemonte italie 2024|it|w|moscato|piemonte|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
307. W|cascina pian dor serena sweet|red wine 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|cascina pian dor serena sweet|red wine 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=307
309. W|cascina praie il|cannetopigato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|cascina praie|vermentino don lisander doc 2023 case only|??|w|vermentino|??|??|2023|12.5|doc|leve|frutos do mar, peixes, saladas|seco
311. W|cascina preziosa castleng|nebbiolo coste della sesia piedmont italy 2018|it|r|nebbiolo|piedmont|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
312. W|cascina preziosa coste della sesia spanna|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|cascina preziosa|nebbiolo castleng coste della sesia 2014|??|r|nebbiolo|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
314. W|cascina preziosa spanna coste della sesia piedmont italy|2018|it|r|??|piedmont|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|cascina principe vacca gaia principe barbaresco|docg 2019|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
316. W|cascina principe vacca|nebbiolo langhe doc 2022|??|r|nebbiolo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
317. W|cascina principe vacca|nebbiolo langhe ultima annata|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
318. W|cascina pugnane barolo bussia|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|cascina pugnane barolo bussia|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|cascina pugnane barolo bussia|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
321. W|cascina pugnane barolo pugnane|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|cascina pugnane barolo pugnane|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|cascina pugnane barolo pugnane|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|cascina pugnane dolcetto|dalba|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. W|cascina pugnane pugnane barolo|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|cascina radice attimi di|barbera doc piemonteitalienpiemonte2023159 krpr flaske129 krpr fl ved 6 fl|it|r|barbera|piemonte|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
327. W|cascina radice aulico gavi di|gavi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|cascina radice barolo|docg poiana|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
329. W|cascina radice gavi|docg immenso|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
330. W|cascina radice il tempo che passa|barbera dasti superiore barrique|??|r|barbera|??|??|NV|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
331. W|cascina radice immenso|gavi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|cascina radice nibbio barbaresco|docg 201720|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
333. W|cascina radice perla nizza|barrique|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|cascina radice poiana|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|cascina radice poiana barolo|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
336. W|cascina radice poiana barolo|docg 2018|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
337. W|cascina roccalini barbaresco|2013|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|cascina roccalini barbaresco|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|cascina roccalini barbaresco|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|cascina roccalini barbaresco|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=339
341. W|cascina roccalini barbaresco|2021|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|cascina roccalini barbaresco|2021|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=341
343. W|cascina roccalini barbaresco|2021|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=341
344. W|cascina roccalini barbaresco|docg 2017|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
345. W|cascina roccalini barbaresco|docg 2017 1|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
346. W|cascina roccalini barbaresco|docg 2020|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
347. W|cascina roccalini barbaresco|docg 2020|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=346
348. W|cascina roccalini barbaresco|docg 2021|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
349. W|cascina roccalini barbaresco|docg 2021|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=348
350. W|cascina roccalini barbaresco riserva|2013|it|r|??|??|??|2013|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
351. W|cascina roccalini barbaresco|roccalini|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|cascina roccalini langhe|nebbiolo 2022|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
353. W|cascina roccalini langhe|nebbiolo 6x750 2023 case only|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
354. W|cascina roccalini langhe|nebbiolo doc 2023|??|r|nebbiolo|??|??|2023|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
355. W|cascina roccalini langhe|nebbiolo doc 2023|??|r|nebbiolo|??|??|2023|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=354
356. W|cascina roccalini roccalini barbaresco|2021 case only|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|cascina roera cardin|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
358. W|cascina roera cardin|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=357
359. W|cascina roera cardin|vdt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|cascina roera ciapin|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|cascina roera cuvette dounghette|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|cascina roera gallega|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|cascina roera la cuvette dounghette|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|cascina roera la cuvette dounghette|vdt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|cascina roera la pivetta|vdt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|cascina roera la roera|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|cascina roera la roera|barbera 2021|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
368. W|cascina roera la roera|barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
369. W|cascina roera le aie|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|cascina roera piva|2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|cascina roera piva|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|cascina roera san martino|2011|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|cascina roera|zero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|cascina roera zero|21 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|cascina roera zero19|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|cascina s maria bianco amabile lambrusco dellemilia semidolce|8 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|cascina s maria|lambrusco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|cascina san|giovanni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|cascina san michele|barbera dasti primevi 2020|??|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
380. W|cascina san michele|barbera dasti primevi 2021|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
381. W|cascina san michele|barbera dasti superiore docg 2018|??|r|barbera|??|??|2018|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
382. W|cascina san michele eteronimo bianco|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|cascina san michele la briccona vino|rosso 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|cascina san michele la briccona vino|rosso 2018 oc6 bundle p2211073oc6bundle|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|cascina san michele monferrato|rosso doc 2018|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
386. W|cascina san michele monferrato|rosso doc 2018 oc6 bundle p2211072oc6bundle|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
387. W|cascina san michele primevigne|barbera dasti docg 2020|??|r|barbera|??|??|2020|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
388. W|cascina san michele primevigne|barbera dasti docg 2020 oc6 bundle p2211069oc6bundle|??|r|barbera|??|??|2020|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
389. W|cascina san michele primevigne|barbera dasti docg magnum 2020|??|r|barbera|??|??|2020|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
390. W|cascina san michele primevigne|barbera dasti docg magnum 2020 oc1 bundle p2211070oc1bundle|??|r|barbera|??|??|2020|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
391. W|cascina san michele sciardese vino bianco|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|cascina san michele sciardese vino bianco|2019 oc6 bundle p2211071oc6bundle|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|cascina san pietro franciacorta|brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
394. W|cascina san pietro franciacorta|brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=393
395. W|cascina san pietro franciacorta|brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=393
396. W|cascina san pietro franciacorta|brut saten|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
397. W|cascina san pietro franciacorta pas dose cuvee terre dei trici|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|cascina san pietro franciacorta pas dose cuvee terre dei trici|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=397
399. W|cascina san pietro franciacorta pas dose cuvee terre dei trici|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=397
400. W|cascina schiavenza barolo serralunga|dalba|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|cascina smaria lambrusco bianco|75|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|cascina sot barolo del comune di monforte dalba|docg 2018|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
403. W|cascina sot barolo del comune di monforte dalba|docg 2018|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=402
404. W|cascina sot barolo del comune dimonforte dalba|2018docg|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. X
406. W|cascina sot|chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
407. W|cascina sot langhe|doc nascetta 2022|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
408. W|cascina sot langhe|doc nebbiolo 2020|??|r|nebbiolo|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
409. W|cascina sot langhe|doc nebbiolo 2022|??|r|nebbiolo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
410. W|cascina sot piemonte|doc chardonnay 2023|it|w|chardonnay|piemonte|??|2023|12.5|doc|leve|frutos do mar, peixes, saladas|seco
411. W|cascina sot|rosato tramonto 2022|??|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
412. W|cascina sot tramonto vino|rosato 2022|??|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
413. W|cascina tavijin vino|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|cascina tavijn|68 rosso 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|cascina tavijn|68 vino rosso 2019 135|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
