W|fratelli bortolin|bortolin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli raguzzoni|rosato frizzante 2023|fr|p|??|??|??|2023|13.5|??|medio|frutos do mar, saladas|seco|=231
W|fratelli revello|barbera dalba|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barbera dalba|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=234
W|fratelli revello|barbera dalba|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=234
W|fratelli revello|barbera dalba 2020|it|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barbera dalba 2022|it|r|barbera|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=239
W|fratelli revello|barolo 2019|it|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo 2019|it|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=241
W|fratelli revello|barolo ceretta 2017|it|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo ceretta 2019|it|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo cerretta 2016|it|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo cerretta 2019|it|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo cerretta docg 2019|it|r|??|??|??|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo conca 2007|it|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo conca 2016|it|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo conca 2019|it|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo conca 2020|it|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo conca 2020|it|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco|=251
W|fratelli revello|barolo docg|it|r|??|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo gattera|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo gattera 2016|it|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo gattera 2017|it|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo gattera 2019|it|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo giachini|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo giachini 2016|it|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo le radici 2019 piemonte italien|it|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo le radici 2020 piemonte italien|it|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo rocche dellannunziata 2015|it|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo rocche dellannunziata 2018|it|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|barolo vigna conca 2003|it|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|dolcetto d alba|fr|r|dolcetto|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|dolcetto dalba 2023|fr|r|dolcetto|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|dolcetto di diano dalba 2023|fr|r|dolcetto|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|langhe nebbiolo 2021|it|r|nebbiolo|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|langhe nebbiolo 2021|it|r|nebbiolo|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=268
W|fratelli revello|langhe nebbiolo 2022|it|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|langhe nebbiolo 2023|it|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|langhe nebbiolo 2023|it|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=271
W|fratelli revello|langhe nebbiolo 2024|it|r|nebbiolo|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli revello|vigna conca barolo docg 2007|it|r|??|??|??|2007|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli sangiovese|sangiovese|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sangiovese|bianco wine|it|w|sangiovese|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli sangiovese|red wine|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sangiovese|wine|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sangiovese|wine|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=278
W|fratelli saublanc|wine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sauvignon|blanc|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli sauvignon|blanc white wine|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli sauvignon|blanc wine|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli seghesio|barbera dalba la chiesa 2013|it|r|barbera|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli seghesio|barolo|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli seghesio|barolo 2015|it|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli seghesio|barolo castelletto|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli seghesio|barolo la villa 2013|it|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli seghesio|dolcetto dalba|fr|r|dolcetto|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli seghesio|langhe bianco rapui|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli seghesio|langhe nebbiolo piedmont italy|it|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli seghesio|nebbiolo langhe|it|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli selva|lago di como olio extra vergine di oliva lari|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista barolo|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barbaresco|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barbaresco docg 2020|it|r|??|??|??|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barbera d alba|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barbera d alba superiore|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo 1968|it|r|??|??|??|1968|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo 2021|it|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo 2021|it|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=301
W|fratelli serio|battista borgogno barolo 2021|it|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=301
W|fratelli serio|battista borgogno barolo albarella 2021|it|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo albarella 2021|it|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=304
W|fratelli serio|battista borgogno barolo cannubi|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo cannubi|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=306
W|fratelli serio|battista borgogno barolo cannubi 2020 docg|it|r|??|??|??|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo cannubi docg 2019|it|r|??|??|??|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo cannubi docg 2020|it|r|??|??|??|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo cannubi docg 2020 double magnum|it|r|??|??|??|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo classico docg 2020|it|r|??|??|??|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo classico docg 2020 magnum|it|r|??|??|??|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno barolo riserva 1974 1|it|r|??|??|??|1974|13.5|RISERVA|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno cannubi barolo riserva 1964|it|r|??|??|??|1964|13.5|RISERVA|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno dolcetto d alba|fr|r|dolcetto|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno dolcetto dalba piedmont italy 2020|it|r|dolcetto|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno dolcetto dalba piedmont italy 2020|it|r|dolcetto|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco|=317
W|fratelli serio|battista borgogno lanche nebbiolo|it|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno langhe nascetta doc 2023|fr|r|??|??|??|2023|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno langhe nebbiolo doc 2024|it|r|nebbiolo|??|??|2024|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno langhe nebbiolo doc 2024|it|r|nebbiolo|??|??|2024|13.5|DOC|encorpado|carne vermelha, queijo|seco|=321
W|fratelli serio|battista borgogno nebbiolo d alba|it|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno seriulin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|battista borgogno the truffle hunters barolo cannubi|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|e battista borgogno barolo cannubi 2017|it|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serio|e battista borgogno barolo cannubi riserva 2016|it|r|??|??|??|2016|13.5|RISERVA|encorpado|carne vermelha, queijo|seco
W|fratelli serio|e battista borgogno nascetta bianco 2019|fr|w|??|??|??|2019|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli serio|langhe nebbiolo 2023|it|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli serra|vernaccia di oristano doc riserva 2002|fr|r|??|??|??|2002|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratelli sette|sette|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sette|red blend|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sette|wine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli shiraz|rose|fr|p|shiraz|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|fratelli shiraz|rose|fr|p|shiraz|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=334
W|fratelli shiraz|rose wine|fr|p|shiraz|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|fratelli shiraz|rose wine|fr|p|shiraz|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=336
W|fratelli shiraz|wine|fr|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli shirazfruit|wine|fr|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sicilia|cannoli siciliana|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sidus|port wine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sidus|premium port wine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sidus|premium red wine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli sidus|premium white wine|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli speri|amarone valpolicella monte santurbano 2019|it|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli speri|amarone valpolicella monte santurbano 2019 37|it|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli speri|amarone valpolicella monte santurbano 2019 magnum cl 150|cl|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli speri|amarone valpolicella monte santurbano 75|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli speri|amarone valpolicella monte santurbano 75|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=348
W|fratelli speri|amarone valpolicella monte santurbano 75|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=348
W|fratelli speri|amarone valpolicella monte santurbano cl 75 2012|cl|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli speri|valpolicella classico 2022|it|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli tilt|bubbly|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli tilt|bubbly rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|fratelli tilt|red|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli tilt|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli vagnoni|vernaccia di san gimignano|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli vergnano|1865 arancino blood orange liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli vergnano|1865 arancino blood orange liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=358
W|fratelli vergnano|1865 cioco artichoke liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli vergnano|1865 cioco artichoke liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=360
W|fratelli vergnano|1865 fragola strawberry liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli vergnano|1865 maraschino liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli vergnano|1865 maraschino liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=363
W|fratelli vergnano|1865 mirtillo blueberry liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli vergnano|mirtillo liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli vogadori|valpolicella classico 2021|it|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli vogadori|valpolicella raffaello rosso veronese|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli vogadori|valpolicella raffaello rosso veronese 2020|it|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli vogadori|vini amarone della valpolicella classico forlago 2021|it|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli zeni|costalago vino rosso igt veronese|fr|r|??|??|??|NV|13.5|IGT|encorpado|carne vermelha, queijo|seco
W|fratelli zeni|lugana vigne alte|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ziva|red wine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ziva|rose wine|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|fratelli ziva|white wine|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli zuliani|pinot grigio blush|fr|w|pinot grigio|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratellisicilia panettone|gluten free tangerine 500g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratellli negri|sizzano 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratello|fratello|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratello bianco|noii 20s|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratello cigars|robusto 20s|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratello colapiz|en polvo x 1 kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratello filippini|4pack|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratello haselnusslikor|haselnusslikor|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratello hazelnut|liquer|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratello hazelnut|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratello hazelnut|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=386
W|fratello hazelnut|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=386
W|fratello hazelnut|liqueur 6 case|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratello hazelnut|liqueur bottle|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro artichokes|in oil 280g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro bella|di cerignola dpo black olives|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro bella|di cerignola dpo green olives|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro bella|di cerignola olives 550300g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro carciofotto|carciofotto|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro carciofotto|carciofotto|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=395
W|fratepietro dried|tomatoes pomodori secchi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro giant|black olives in brine size g 300g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro giant|green olives in brine size g 300g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro mix|olive puglia|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro olive|ggg nere gr550|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro olive|verdi 3g gr580|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro olive|verdi g gr314|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro pate|olive verdi bella di cerignola|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro puglian|artichokes|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro super|giant black olives in brine size ggg 550g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratepietro super|giant green olives in brine size ggg 550g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frater rosso|venezia doc 2021 barollo|fr|r|??|??|??|2021|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratern|fratern|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fraternitas|2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|fraternitas|2018 bfzwcs 075 liter|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|fraterno chardonnay|chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fraterno sauvignon|blanc|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|frates templi|millesime brut 2012|fr|s|??|??|??|2012|12|??|medio|aperitivos, frutos do mar|brut
W|frati giftbox|giftbox|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frati giftbox|craft|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frati lugana|2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|frati lugana|magnum|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frati lugana|magnum|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=418
W|frati lugana|magnum|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=418
W|fratii buzesti|2020 rosu sec|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratini|2016 tenuta hortense bolgheri superiore doc astucciato|fr|r|??|??|??|2016|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratini|2017 magnum tenuta hortense bolgheri superiore doc in cassa legno|fr|r|??|??|??|2017|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratini|2017 tenuta hortense bolgheri superiore doc in cassa legno|fr|r|??|??|??|2017|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratini|2018 tenuta hortense bolgheri superiore doc in cassa legno|fr|r|??|??|??|2018|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratini|2019 tenuta hortense bolgheri superiore doc in cassa legno|fr|r|??|??|??|2019|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratini bolgheri|superiore harte 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratini bolgheri|superiore hortense 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratini clinio|2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratole falcone|nduja 400 500g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratta|1986 maculan|fr|r|??|??|??|1986|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratta|1999 maculan|fr|r|??|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratta|2003|fr|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratta|2017 maculan|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratta|2018 maculan|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratta|2018 maculan|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=435
W|fratta igt|maculan|fr|r|??|??|??|NV|13.5|IGT|encorpado|carne vermelha, queijo|seco
W|fratta igt|maculan|fr|r|??|??|??|NV|13.5|IGT|encorpado|carne vermelha, queijo|seco|=437
W|fratta igt|magnum maculan|fr|r|??|??|??|NV|13.5|IGT|encorpado|carne vermelha, queijo|seco
W|fratta igt|magnum maculan|fr|r|??|??|??|NV|13.5|IGT|encorpado|carne vermelha, queijo|seco|=439
W|fratta maculan|maculan|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratta maculan|maculan|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=441
W|fratta maculan|maculan|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=441
W|fratta veneto|rosso 2007 maculan|it|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|frattanz prosciutto|parma 100g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frattasi coda|di volpe benventano 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|frattasi taburno|falanghina|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frattina prosecco|prosecco|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|frattina prosecco|doc brut|it|s|??|??|??|NV|12|DOC|medio|aperitivos, frutos do mar|brut
W|frattoria pupile|saffredi 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|frattoria santa|vittoria conforta dessertvin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frattoria santa|vittoria grechetto|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frattoria santa|vittoria vin santo|fr|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos|doce
W|fratus|fratus|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratus franciacorta|brut docg sparkling white|fr|s|??|??|??|NV|12|DOCG|medio|aperitivos, frutos do mar|brut
W|fratus franciacorta|brut rose millesimato docg|fr|s|??|??|??|NV|12|DOCG|medio|aperitivos, frutos do mar|brut
W|frau claudia|espumante natural pet nat 2024|fr|s|??|??|??|2024|12|??|medio|aperitivos, frutos do mar|brut
W|frau ehrhard|2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|frau gruber|blast off 65|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frau gruber|heureka moment 52|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frau gruber|juicy comfort 6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frau gruber|loose bones|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
X
W|frau gruber|pina colada 63|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|frau gruber|superunnatural|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
