W|languedoc|syrah domaine baume rg|fr|r|syrah|languedoc|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|codoliera domaine sauta roc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|clape chateau ricardelle vignelacroix rouge|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|clape chateau ricardelle vignelacroix blanc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=209
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=209
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=212
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=212
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=215
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=215
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=215
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=215
W|languedoc|clapas blanc domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=215
W|languedoc|cite de carcassonne twin pack|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|chateau puechhaut tete de belier rouge|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|chateau puechhaut tete de belier|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|chateau puech haut prestige|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|chateau bouisset les terres salees rouge|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|chateau bouisset les terres salees blanc igp cotes de perigna|fr|r|??|languedoc|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|chateau bouisset les cabanes rouge|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|chateau bouisset les cabanes blanc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|chateau bouisset les becassines aoc clape|fr|r|??|languedoc|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|chateau bouisset bourboulenc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|chardonnay dom baume bl|fr|w|chardonnay|languedoc|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|languedoc|chamane le roc des anges|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|campagnes maxime magnon|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|cabernet syrah les vignerons dalignan du vent les hauts de montarels|fr|r|syrah|languedoc|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|cab sauvignon thermes baume 24 rg|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|branco|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|branco|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|borvidek|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|borealis montcelebre|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc mas des chimeres|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc lorfraie la chouette du chai|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc les vignes oubliees|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc les cocalieres domaine daupilhac|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc les cocalieres domaine daupilhac|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc leon barral|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc le coup de calcaire|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc elegance bio mas de loncle|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc domaine saint sylvestre|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc chemin dapres|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc aop le dahut caisse de 6 bouteilles|fr|r|??|languedoc|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc aoc etincelle domaine de la clapiere|fr|r|??|languedoc|??|2022|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|blanc aoc etincelle domaine de la clapiere|fr|r|??|languedoc|??|2022|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco|=251
W|languedoc|blanc aoc etincelle domaine de la clapiere|fr|r|??|languedoc|??|2022|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco|=251
W|languedoc|blanc aoc etincelle domaine de la clapiere|fr|r|??|languedoc|??|2022|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco|=251
W|languedoc|blanc aoc etincelle domaine de la clapiere|fr|r|??|languedoc|??|2022|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco|=251
W|languedoc|blanc abbotts delaunay|fr|r|??|languedoc|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|bioboxi|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|au dolmen mas llossanes|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|arjolle arlequin|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|arjies clos constantin|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aop terrasse du larzac domaine de laccent petit accent bio|fr|r|??|languedoc|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aop mas lasta|fr|r|??|languedoc|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aop les vignerons du sommierois cuvee les arcades rouge|fr|r|??|languedoc|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aop domaine saintjean de larbousier cuvee gourmandise rouge|fr|r|??|languedoc|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aop domaine saintjean de larboursier cuvee gourmandise blanc|fr|r|??|languedoc|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aop blanc domaine de nizas|fr|r|??|languedoc|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aop blanc|fr|r|??|languedoc|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aop|fr|r|??|languedoc|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aoc villa dondona esperel white|fr|r|??|languedoc|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aoc pic saint loup selection parcellaires maison fortant|fr|r|??|languedoc|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aoc mas de farjou les hautes terres|fr|r|??|languedoc|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aoc mas de farjou lamourier|fr|r|??|languedoc|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aoc mala coste rouge domaine dourbie|fr|r|??|languedoc|??|2023|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aoc mala coste blanc domaine dourbie|fr|r|??|languedoc|??|2023|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aoc les 37 rouge chateau saint martin de la garrigue|fr|r|??|languedoc|??|2022|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aoc cuvee r cave de roquebrun|fr|r|??|languedoc|??|2019|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aoc chateau capion blanc|fr|r|??|languedoc|??|2018|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|aoc|fr|r|??|languedoc|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|anne de joyeuse very limoux blanc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|anne de joyeuse la butiniere limoux|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|anne de joyeuse gargantuavis cuvee dinosaure|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|anne de joyeuse ampelosaurus cuvee dinosaure|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|a tire daile blanc abbotts delaunay|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|mas jullien|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|mas jullien|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine saint sylvestre|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine de montcalmes|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine saint sylvestre|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine de montcalmes|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine saint sylvestre|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine de montcalmes|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine de montcalmes|fr|r|??|languedoc|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine de montcalmes|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|languedoc|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|clos marie|fr|r|??|languedoc|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|languedoc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|languedoc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=296
W|langue|nebbiolo scarzello giorgio|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langue de|chat pomme cannel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langue de|chat poire|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langue de|chat 100gr slbdll|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langue|arneis sibilla|??|w|arneis|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|language|of yes syrah santa maria valley|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|language|of yes syrah maria|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|language|of yes syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|language|of yes santa maria valley syrah|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|language|of yes santa maria valley syrah|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=306
W|language|of yes santa maria valley syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|language|of yes santa maria valley grenache|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|language|of yes santa maria valley grenache|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=309
W|language|of yes santa maria valley grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|language|of yes rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|language|of yes rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=312
W|language|of yes rancho real vineyardsyrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|language|of yes grenache rancho real vineyard|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|language|of yes grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|language|of yes cuvee sinso|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|language|of yes cuvee sinso|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=317
W|language|of yes cuvee sinso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|language|of yes cuvee sinso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=319
W|language|of yes california usa|us|r|??|california|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|language|of love|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|language|of flowers jigsaw|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langtry|night marsanne guenoc valley|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langtry|lillies sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langtry farms|tephra ridge vineyard cabernet|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langtry|estate vineyards viognier|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langtry|estate sauvignon blanc lillies vineyard|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langtry|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langtry|serpentine meadow petite sirah|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langtons|n 1 london dry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langteufel|rotes haus|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langt|fra kln|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langsteedgaard|den rde sten fur|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langstedgard|cassiopaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langstedgard|alkymisten|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|supreme blend 5 years old vol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|supreme 5 year old|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|supreme 5 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|smoothmellow|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|smooth mellow 43 07|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|smooth mellow 43|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|smooth mellow|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|smooth and mellow|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|select 12 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|richrefined|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|rich refined 46 07|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|rich and refined|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|fullsmoky|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|full smoky 07 07 3 49999 4 37499|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|full smoky|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|full smokey 43|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|full and smoky|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|banana 0 375|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langs|12 years old|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langres|scherten emballe 180g new|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langres|pdo 180 gm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langres|pdo 170180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langres|ls|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langres|fermier aop|??|r|??|??|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|langres|fermier aop|??|r|??|??|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco|=360
W|langres|cow p 180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langres|aop 6 oz|??|r|??|??|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|langres|aop|??|r|??|??|??|NV|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|langres|aoc|??|r|??|??|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|langres|langres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langres|180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langres|180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=367
W|langres|langres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|langres|langres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|langres|langres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|langres|langres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=366
W|langoustines|from new zealand wild caught 44 lbs frozen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoustines|cooked|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoustines|langoustines|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoustinensuppe|404g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoustine|soup boulonnaise|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoustine|soup 404g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoustine|scampi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoustine|rillettes with tigernuts les mouettes darvor france|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|sylvain saintaubin 1er cru les frionnes|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|saintaubin village|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|saintaubin 1er cru le champlot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|saintaubin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|saintaubin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=384
W|langoureau|pulignymontrachet 1er cru la garenne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|chassagnemontrachet les perclos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|bourgogne blanc hautescotes de beaune|fr|r|??|bourgogne|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|saintaubin 1er cru sur le sentier du clou|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|saintaubin 1er cru le champlot|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|saintaubin 1er cru en remilly|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoureau|saintaubin 1er cru sur le sentier du clou|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langosz|w jurcie krzysztof varga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostinos|precocidos sin cascara cuisine co medianos 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostinos|pelados y desvenados cuisine co 150g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostinos|pelados y desvenados 2630 1 kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostinos|extra grandes limpios cuisine co 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostinos|enteros 1620 1 kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostinos|crudos sin cascara cuisine co medianos 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostino|vannamei|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostino|tigre caja 1k|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostino|salvaje arcoiris 1k|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostino|no0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostino|fresco crudo 500 g 23 raciones|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostino|fresco cocido 500 g 23 raciones|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostino|entero ccabeza grande|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostino|ancla y viento 1620 x 454 g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langostillos|espinaler autenticos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoor|white wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoor|white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoor|red wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoor|red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoiran|blanc|??|r|??|??|??|1947|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoabarton|stjulien|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoabarton|stjulien|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton saintjulien grand cru|??|r|??|??|??|2019|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton saintjulien|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton saintjulien|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton saintjulien|??|r|??|??|??|1983|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton saint julien frankrijk bordeaux rood|fr|r|??|bordeaux|??|1943|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton grand cru classe prevenda|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton 3eme grand cru classe saintjulien magnum 1|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton 3eme grand cru classe saintjulien magnum 1|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco|=422
W|langoa|barton 3eme grand cru classe saintjulien|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton 3eme grand cru classe saintjulien|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco|=424
W|langoa|barton 3eme grand cru classe saintjulien|??|r|??|??|??|2022|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton 3eme grand cru classe saintjulien|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton 3eme grand cru classe saintjulien|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco|=427
W|langoa|barton 3eme grand cru classe saintjulien|??|r|??|??|??|2020|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
