1. W|cartuxa|branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
235. W|cartuxa|monte de pinheiros tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|cartuxa|monte de pinheiros tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=235
237. W|cartuxa|monte de pinheiros white|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
238. W|cartuxa|pera manca branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
239. W|cartuxa|pera manca branco alentejo|pt|w|??|alentejo|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
240. W|cartuxa|pera manca red|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|cartuxa|pera manca red|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=240
242. W|cartuxa|pera manca tinto|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|cartuxa|pera manca tinto|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
244. W|cartuxa|pera manca white|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
245. W|cartuxa|peramanca branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
246. W|cartuxa|peramanca branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
247. W|cartuxa|peramanca branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=246
248. W|cartuxa|peramanca branco 2020 6 bottle case|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
249. W|cartuxa|peramanca branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
250. W|cartuxa|peramanca tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|cartuxa|peramanca tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|cartuxa|red|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|cartuxa|red|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|cartuxa|red 2021 special easter day|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|cartuxa|red 2022 vinho de talha|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|cartuxa|red reserva|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
257. W|cartuxa|red reserve|??|r|??|??|??|2018|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
258. W|cartuxa|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
259. W|cartuxa|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=258
260. W|cartuxa|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=258
261. W|cartuxa|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=258
262. W|cartuxa|reserva|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
263. W|cartuxa|reserva|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
264. W|cartuxa|reserva|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=263
265. W|cartuxa|reserva alentejo tinto|pt|r|??|alentejo|??|2016|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
266. W|cartuxa|reserva bruto branco|??|s|??|??|??|NV|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
267. W|cartuxa|reserva jeroboam|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
268. W|cartuxa|reserva magnum 1|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
269. W|cartuxa|reserva red|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
270. W|cartuxa|reserva red|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
271. W|cartuxa|reserva red 2019case only|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
272. W|cartuxa|reserva rehoboam|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
273. W|cartuxa|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
274. W|cartuxa|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=273
275. W|cartuxa|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=273
276. W|cartuxa|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=273
277. W|cartuxa|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=273
278. W|cartuxa|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=273
279. W|cartuxa|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=273
280. W|cartuxa|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=273
281. W|cartuxa|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=273
282. W|cartuxa|reserva tinto|??|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
283. W|cartuxa|reserva tinto|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
284. W|cartuxa|reserva tinto|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=283
285. W|cartuxa|reserva tinto|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
286. W|cartuxa|reserva tinto|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=285
287. W|cartuxa|reserva tinto|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=285
288. W|cartuxa|reserva tinto 2017 075|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
289. W|cartuxa|reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
290. W|cartuxa|reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=289
291. W|cartuxa|reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=289
292. W|cartuxa|reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=289
293. W|cartuxa|reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=289
294. W|cartuxa|reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=289
295. W|cartuxa|reserva tinto|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
296. W|cartuxa|reserva tinto|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=295
297. W|cartuxa|reserva tinto|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=295
298. W|cartuxa|reserva tinto|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=295
299. X
300. W|cartuxa|reserva tinto 750ml|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
301. W|cartuxa|reserva tinto c caixa de madeira|??|f|??|??|??|NV|20|reserva|encorpado|sobremesas, queijos azuis, foie gras|doce
302. W|cartuxa|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
303. W|cartuxa|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=302
304. W|cartuxa|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=302
305. W|cartuxa|rose|??|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
306. W|cartuxa|rose espumante|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
307. W|cartuxa|scala coeli|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|cartuxa|scala coeli alicante bouchet 2016 tinto|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|cartuxa|scala coeli branco|??|w|??|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
310. W|cartuxa|scala coeli petit verdot 2019 tinto|??|r|petit verdot|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|cartuxa|scala coeli red reserva 2019 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
312. W|cartuxa|scala coeli syrah 2017 tinto|??|r|syrah|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
313. W|cartuxa|sparkling|??|s|??|??|??|2015|12|??|leve|frutos do mar, aperitivos, sushi|brut
314. W|cartuxa|sparkling rose|??|s|??|??|??|2015|12|??|leve|frutos do mar, aperitivos, sushi|brut
315. W|cartuxa|talha bio alentejo tinto|pt|r|??|alentejo|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|cartuxa|talha tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|cartuxa|tinta caiada tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
320. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
321. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
322. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
323. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
324. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
325. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
326. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
327. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
328. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
329. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
330. W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=318
331. W|cartuxa|tinto|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|cartuxa|tinto|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|cartuxa|tinto 2018 07|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|cartuxa|tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|cartuxa|tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
336. W|cartuxa|tinto doc|??|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
337. W|cartuxa|tinto doc alentejo evora|pt|r|??|alentejo|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
338. W|cartuxa|tinto magnum 1|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|cartuxa|tinto reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
340. W|cartuxa|trincadeira tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|cartuxa|vinha de curtimenta alentejo branco|pt|w|??|alentejo|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
342. W|cartuxa|vinho de curtimenta branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
343. W|cartuxa|vinho de talha biologico tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
344. W|cartuxa|vinho portugues ea tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|cartuxa|white|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
346. W|cartuxa|white|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
347. W|cartuxa|white 2022 special easter day|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
348. W|cartuxa|white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
349. W|cartuxa winery|ea white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
350. W|cartuxa winery|evora red reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
351. W|cartuxa winery|pera manca branco alentejo portugal 2021 750|pt|w|??|alentejo|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
352. W|cartwheels|cartwheels|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|cartwright|and butler apricot preserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
354. X
355. W|cartwright|and butler butter fudge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
356. W|cartwright|and butler dark chokolate and orange florentines|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|cartwright|and butler mint imperials sweets 190g|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
358. W|cartwright|and butler raspberry preserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
359. X
360. X
361. W|cartwright|and butler sea salted caramel fudge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. X
363. W|cartwright|and butler strawberry preserve 280g|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
364. W|cartwright|butler artisan salted caramel fudge 175g case of 6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|cartwright|butler baked salted cashew nuts 95g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|cartwright|butler baked salted mixed nuts 95g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|cartwright|butler baked sweet chilli peanuts and cashews 90g4501|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
368. W|cartwright|butler baked sweet chilli peanuts cashews 90g|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
369. W|cartwright|butler butter fudge in carton 175g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|cartwright|butler butter fudge in tin 175g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. X
372. X
373. W|cartwright|butler caramelised sesame peanuts jar 80g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|cartwright|butler caramelized onion chutney 250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|cartwright|butler champion tomato apple chutney 250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|cartwright|butler cherry almond loaf cake in tin 550g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|cartwright|butler chilli garlic seeded flatbreads 130g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|cartwright|butler christmas wishes festive fudge trio 3x175g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|cartwright|butler classic butter fudge in tin 175g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
380. X
381. W|cartwright|butler cranberry crumbles in tin 200g4853|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|cartwright|butler cranberry rolled oat crumbles in tin 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|cartwright|butler crispy wafer rolls with cocoa cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|cartwright|butler devine black cherry preserve 280g|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
385. X
386. W|cartwright|butler english oatcakes 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|cartwright|butler fabulous sea salted fudge in tin 175g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. X
389. X
390. X
391. W|cartwright|butler fruit jellies in carton|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|cartwright|butler great british collection classic butter fudge in carton 175g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
393. W|cartwright|butler hickory smoked almonds 95g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|cartwright|butler horseradish cream 140g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. X
396. W|cartwright|butler lemon curd 275g end july|??|r|??|??|??|2026|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|cartwright|butler luxury biscuit selection in square tin 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. X
399. X
400. W|cartwright|butler merry christmas cranberry orange mini mince pies in carton 120g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. X
402. W|cartwright|butler merry christmas teatime selection tin 390g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|cartwright|butler merry christmas turkish delight selection in tin 250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|cartwright|butler mint imperials sweets in carton 190g4699 bb 30 nov|??|d|??|??|??|2025|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
405. W|cartwright|butler olive garlic wheat flatbreads 130g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|cartwright|butler original butter toffee in tin 130g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|cartwright|butler rhubarb custard sweets in a jar|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
408. W|cartwright|butler rich spiced plum preserve 260g|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
409. X
410. X
411. X
412. X
413. W|cartwright|butler scrumptious strawberry clotted cream fudge in tin 175g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. X
415. X
416. W|cartwright|butler sea salted toffees in tin 130g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|cartwright|butler sensational sea salted toffee in tin 130g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|cartwright|butler sherbet pips sweets in a jar|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
419. W|cartwright|butler soft fruit jellies in a jar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|cartwright|butler soft fruit jellies in jar 190g4663|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|cartwright|butler soft italian nougat selection in tin 240g|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|cartwright|butler spicy ginger preserve 280g|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
423. X
424. X
425. W|cartwright|butler strawberry clotted cream fudge in tin 175g 22 aug 26|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|cartwright|butler strawberry preserve 280g|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
427. X
428. W|cartwright|butler sweet salted peanut popcorn brittle in tin 100g|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
429. W|cartwright|butler tasty sweet apple chutney 250g|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
430. W|cartwright|butler teatime fudge assortment 700g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|cartwright|butler the london collection sea salted caramel oat crunches tin 200g3008|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. X
433. W|cartwright|butler tomato chilli chutney 270g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. X
435. W|cartwright|butler traditional yorkshire chutney 240g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. X
437. W|cartwrights|usavi mix beef 75g|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|cartwrights|usavi mix chicken 75g|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|carublu|carublu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|carucior|cos vase rack pahare 5050 din inox|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|carucior|de iarna 5528cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|carucior|de iarna cu pups in cutie 6028cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|carucior|de vara cu pups 5628cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|carucior|inox pentru tavi gn21|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|carucior|navete e2 si ladite 60x40cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|carucior|navetetavi palinealuat fara maner|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|carucior|pentru 15 tavi gn11 inox|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|carucior|pentru tavi patiserie 4606301735mm inox|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|carucior|platforma din inox pentru transport marfa|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
450. W|carucior|pu papus de metal de iarna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
451. W|carucior|servire 100 farfurii hors doeuvrescatering evenimente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|carucior|serviredebarasaregheridon 2 polite inox|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|carucior|serviredebarasaregheridon 3 polite inox|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|caruess|rot|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|caruess|rot 2020 mitterberg igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
456. S
457. S
458. S
459. S
460. S
461. S
462. S
463. S
464. W|carugate|bucciato soave classico superiore|it|r|??|??|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
465. W|carugate|campo bastiglia ripasso valpolicella superiore doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
466. W|carugate|campo bastiglia valpolicella ripasso|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|carugate|campo bastiglia valpolicella ripasso doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
468. W|carugate|campo lavei valpolicella superiore|it|r|??|??|??|2022|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
469. W|carugate|la perlara|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|carugate|la perlara recioto di soave|it|d|??|??|??|2019|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
471. W|carugate|la perlara recioto di soave|it|d|??|??|??|2020|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
472. W|carugate|leremita recioto della valpolicella|it|d|??|??|??|2019|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
473. W|carugate|leremita recioto della valpolicella|it|d|??|??|??|2019|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=472
474. W|carugate|monte alto bio veneto|it|r|??|veneto|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|carugate|monte alto soave classico|it|r|??|??|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
476. W|carugate|monte alto soave classico|it|r|??|??|??|2021|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
477. W|carugate|monte alto soave classico doc|it|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
478. W|carugate|monte alto soave classico doc|it|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
479. W|carugate|monte fiorentine|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|carugate|monte fiorentine soave classico|it|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
481. W|carugate|monte fiorentine soave classico|it|r|??|??|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
482. W|carugate|monte fiorentine soave classico|it|r|??|??|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
483. S
484. W|carugate|rio albo|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|carugate|rio albo valpolicella|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|carugate|rio albo valpolicella|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|carugate|rio albo valpolicella|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|carugate|rio albo valpolicella|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=487
489. W|carugate|rio albo valpolicella doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
490. W|carugate|rio albo valpolicella doc|it|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
